games,year,Name,Team,Week,Opponent,tar,rec,yds,td,fum,def_rk,h/a_1,surface_0,salary,points
33,2017,Antonio Gates,LAC,10,JAX,2,1,3,0,0,11,0.0,1.0,0,1.3
34,2017,Antonio Gates,LAC,11,BUF,2,0,0,0,0,25,0.0,0.0,4900,0.0
35,2017,Antonio Gates,LAC,12,DAL,2,0,0,0,0,21,0.0,0.0,2500,0.0
36,2017,Antonio Gates,LAC,13,CLE,4,3,32,0,0,30,0.0,1.0,2500,6.2
37,2017,Antonio Gates,LAC,14,WAS,1,0,0,0,0,28,0.0,1.0,2500,0.0
38,2017,Antonio Gates,LAC,15,KC,3,1,10,1,0,7,0.0,1.0,3100,8.0
39,2017,Antonio Gates,LAC,16,NYJ,8,6,81,1,0,22,0.0,0.0,2700,20.1
40,2017,Antonio Gates,LAC,17,OAK,6,4,46,0,0,26,0.0,1.0,2500,8.6
41,2018,Antonio Gates,LAC,1,KC,3,2,16,0,0,30,1.0,1.0,2600,5.6
42,2018,Antonio Gates,LAC,2,BUF,1,0,0,0,0,22,0.0,0.0,3000,0.0
43,2018,Antonio Gates,LAC,3,LAR,5,3,45,0,0,23,0.0,1.0,2500,7.5
44,2018,Antonio Gates,LAC,4,SF,5,2,27,1,0,27,1.0,1.0,2500,10.7
1,2017,Antony Auclair,TB,13,GB,1,1,11,0,0,5,0.0,1.0,2500,2.1
2,2017,Antony Auclair,TB,15,ATL,1,1,14,0,0,13,1.0,1.0,2800,2.4
3,2018,Antony Auclair,TB,4,CHI,1,1,8,0,0,19,0.0,1.0,2500,1.8
1,2015,Asante Cleveland,NE,12,DEN,1,1,1,0,0,19,0.0,1.0,2500,1.1
1,2016,Austin Hooper,ATL,1,TB,1,1,14,0,0,14,1.0,0.0,2500,2.4
2,2016,Austin Hooper,ATL,2,OAK,3,3,84,0,0,24,0.0,1.0,3200,11.4
3,2016,Austin Hooper,ATL,4,CAR,1,1,42,1,0,28,1.0,0.0,4800,11.2
4,2016,Austin Hooper,ATL,5,DEN,1,1,14,0,0,19,0.0,1.0,6300,2.4
5,2016,Austin Hooper,ATL,8,GB,5,5,41,0,0,21,1.0,0.0,2500,9.1
6,2016,Austin Hooper,ATL,9,TB,6,3,46,1,0,14,0.0,1.0,0,13.6
7,2016,Austin Hooper,ATL,10,PHI,3,1,8,0,0,2,0.0,1.0,0,1.8
8,2016,Austin Hooper,ATL,12,ARI,2,2,8,0,0,1,1.0,0.0,0,2.8
9,2016,Austin Hooper,ATL,13,KC,1,0,0,0,0,5,1.0,0.0,2500,0.0
10,2016,Austin Hooper,ATL,14,LAR,3,1,5,0,0,7,0.0,1.0,2500,1.5
11,2016,Austin Hooper,ATL,15,SF,1,1,9,1,0,18,1.0,0.0,5300,7.9
12,2017,Austin Hooper,ATL,1,CHI,2,2,128,1,0,12,0.0,1.0,2500,23.8
13,2017,Austin Hooper,ATL,2,GB,2,2,7,0,0,5,1.0,0.0,2500,2.7
14,2017,Austin Hooper,ATL,3,DET,2,1,9,0,0,16,0.0,0.0,2500,1.9
15,2017,Austin Hooper,ATL,4,BUF,7,5,50,0,0,25,1.0,0.0,2500,10.0
16,2017,Austin Hooper,ATL,6,MIA,9,7,48,0,0,32,1.0,0.0,4800,11.8
17,2017,Austin Hooper,ATL,7,NE,1,1,6,0,0,10,0.0,0.0,2500,1.6
18,2017,Austin Hooper,ATL,8,NYJ,6,4,47,1,0,22,0.0,0.0,2500,14.7
19,2017,Austin Hooper,ATL,9,CAR,6,3,36,0,0,6,0.0,1.0,3000,6.6
20,2017,Austin Hooper,ATL,10,DAL,6,6,49,1,0,21,1.0,0.0,2500,16.9
21,2017,Austin Hooper,ATL,11,SEA,2,2,-1,0,0,9,0.0,0.0,2500,1.9
22,2017,Austin Hooper,ATL,12,TB,5,3,38,0,0,3,1.0,0.0,2500,6.8
23,2017,Austin Hooper,ATL,13,MIN,4,3,21,0,0,1,1.0,0.0,2500,5.1
24,2017,Austin Hooper,ATL,14,NO,4,2,23,0,0,2,1.0,0.0,6100,4.3
25,2017,Austin Hooper,ATL,15,TB,2,2,12,0,0,3,0.0,1.0,2500,3.2
26,2017,Austin Hooper,ATL,16,NO,4,3,18,0,0,2,0.0,0.0,3300,4.8
27,2017,Austin Hooper,ATL,17,CAR,3,3,35,0,0,6,1.0,0.0,2500,6.5
28,2018,Austin Hooper,ATL,1,PHI,4,3,24,0,0,16,0.0,1.0,2500,5.4
29,2018,Austin Hooper,ATL,2,CAR,5,5,59,1,0,26,1.0,0.0,3500,16.9
30,2018,Austin Hooper,ATL,3,NO,4,3,23,0,0,9,1.0,0.0,2900,7.3
31,2018,Austin Hooper,ATL,4,CIN,2,1,19,0,0,28,1.0,0.0,2500,2.9
1,2015,Austin Seferian-Jenkins,TB,1,TEN,7,5,110,2,0,24,1.0,1.0,2500,31.0
2,2015,Austin Seferian-Jenkins,TB,2,NO,3,2,29,0,0,32,0.0,0.0,2500,4.9
3,2015,Austin Seferian-Jenkins,TB,13,ATL,6,3,31,0,0,29,1.0,1.0,2500,6.1
4,2015,Austin Seferian-Jenkins,TB,14,NO,6,3,31,0,0,32,1.0,1.0,2500,6.1
5,2015,Austin Seferian-Jenkins,TB,15,LAR,6,3,29,1,0,26,0.0,1.0,4700,11.9
6,2015,Austin Seferian-Jenkins,TB,16,CHI,4,2,60,1,0,13,1.0,1.0,5600,14.0
7,2015,Austin Seferian-Jenkins,TB,17,CAR,7,3,48,0,0,12,0.0,1.0,3000,7.8
8,2016,Austin Seferian-Jenkins,TB,1,ATL,1,1,30,1,0,26,0.0,0.0,2500,10.0
9,2016,Austin Seferian-Jenkins,TB,2,ARI,2,2,14,0,0,1,0.0,1.0,2500,3.4
10,2016,Austin Seferian-Jenkins,NYJ,5,PIT,2,2,17,0,0,17,0.0,1.0,2500,3.7
11,2016,Austin Seferian-Jenkins,NYJ,9,MIA,1,0,0,0,0,25,0.0,1.0,2500,0.0
12,2016,Austin Seferian-Jenkins,NYJ,12,NE,2,1,9,0,0,8,1.0,0.0,0,1.9
13,2016,Austin Seferian-Jenkins,NYJ,13,IND,5,2,29,0,0,23,1.0,0.0,3200,4.9
14,2016,Austin Seferian-Jenkins,NYJ,14,SF,3,3,35,0,0,18,0.0,1.0,3100,6.5
15,2016,Austin Seferian-Jenkins,NYJ,15,MIA,2,1,3,0,0,25,1.0,0.0,2600,1.3
16,2016,Austin Seferian-Jenkins,NYJ,16,NE,2,1,17,0,0,8,0.0,0.0,5500,2.7
17,2017,Austin Seferian-Jenkins,NYJ,3,MIA,6,5,31,0,0,32,1.0,0.0,2500,8.1
18,2017,Austin Seferian-Jenkins,NYJ,4,JAX,4,4,46,0,0,11,1.0,0.0,3400,8.6
19,2017,Austin Seferian-Jenkins,NYJ,5,CLE,8,6,29,1,0,30,0.0,1.0,4200,14.9
20,2017,Austin Seferian-Jenkins,NYJ,6,NE,11,8,46,1,1,10,1.0,0.0,4000,17.6
21,2017,Austin Seferian-Jenkins,NYJ,7,MIA,5,3,21,1,0,32,0.0,1.0,2500,11.1
22,2017,Austin Seferian-Jenkins,NYJ,8,ATL,5,5,28,0,0,13,1.0,0.0,2500,7.8
23,2017,Austin Seferian-Jenkins,NYJ,9,BUF,2,2,20,0,0,25,1.0,0.0,0,4.0
24,2017,Austin Seferian-Jenkins,NYJ,10,TB,9,6,67,0,0,3,0.0,1.0,2500,12.7
25,2017,Austin Seferian-Jenkins,NYJ,12,CAR,7,2,27,0,0,6,1.0,0.0,2500,4.7
26,2017,Austin Seferian-Jenkins,NYJ,13,KC,3,2,7,0,0,7,1.0,0.0,0,2.7
27,2017,Austin Seferian-Jenkins,NYJ,14,DEN,4,1,1,0,0,29,0.0,1.0,2500,1.1
28,2017,Austin Seferian-Jenkins,NYJ,15,NO,2,2,13,0,0,2,0.0,0.0,2900,3.3
29,2017,Austin Seferian-Jenkins,NYJ,16,LAC,8,4,21,0,0,8,1.0,0.0,2500,6.1
30,2018,Austin Seferian-Jenkins,JAX,1,NYG,5,3,25,0,0,7,0.0,0.0,4300,5.5
31,2018,Austin Seferian-Jenkins,JAX,2,NE,5,3,23,1,0,10,1.0,1.0,5900,11.3
32,2018,Austin Seferian-Jenkins,JAX,3,TEN,5,3,18,0,0,1,1.0,1.0,2500,4.8
33,2018,Austin Seferian-Jenkins,JAX,4,NYJ,4,2,24,0,0,2,1.0,1.0,2500,4.4
1,2017,Austin Traylor,DEN,11,CIN,5,4,36,0,0,23,1.0,1.0,2800,7.6
2,2017,Austin Traylor,DEN,12,OAK,4,1,34,0,0,26,0.0,1.0,5100,4.4
3,2017,Austin Traylor,DEN,13,MIA,2,2,16,0,0,32,0.0,1.0,4400,3.6
