Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
19,15866,Josh Hill,NO,TE,4,NYG,3,3,100,63,0,22,21,21,0,0,0,0,0,0,9.3,9.3
20,11345,Logan Paulsen,ATL,TE,4,CIN,1,1,100,17,1,17,17,17,0,0,0,0,0,0,8.7,8.7
21,10974,Rob Gronkowski,NE,TE,4,MIA,7,4,57.1,44,0,14,6.3,11,0,0,0,0,0,0,8.4,8.4
22,12751,Charles Clay,BUF,TE,4,GB,6,4,66.7,40,0,17,6.7,10,0,0,0,0,0,0,8,8
23,15305,Demetrius Harris,KC,TE,4,DEN,3,2,66.7,59,0,35,19.7,29.5,0,0,0,0,0,0,7.9,7.9
24,19410,Ricky Seals-Jones,ARI,TE,4,SEA,4,2,50,52,0,31,13,26,0,0,0,0,0,0,7.2,7.2
25,16931,Nick Boyle,BAL,TE,4,PIT,5,3,60,36,0,19,7.2,12,0,0,0,0,0,0,6.6,6.6
26,14445,Rhett Ellison,NYG,TE,4,NO,5,3,60,29,0,11,5.8,9.7,0,0,0,0,0,0,5.9,5.9
27,12777,Lee Smith,OAK,TE,4,CLE,4,3,75,23,0,10,5.8,7.7,0,0,0,0,0,0,5.3,5.3
28,16933,James O'Shaughnessy,JAX,TE,4,NYJ,3,2,66.7,28,0,17,9.3,14,0,0,0,0,0,0,4.8,4.8
29,19903,Jordan Akins,HOU,TE,4,IND,3,2,66.7,24,0,14,8,12,0,0,0,0,0,0,4.4,4.4
29,16608,Austin Seferian-Jenkins,JAX,TE,4,NYJ,4,2,50,24,0,21,6,12,0,0,0,0,0,0,4.4,4.4
31,11756,Benjamin Watson,NO,TE,4,NYG,3,1,33.3,23,0,23,7.7,23,0,0,0,0,0,0,3.3,3.3
31,16920,Jesse James,PIT,TE,4,BAL,1,1,100,23,0,23,23,23,0,0,0,0,0,0,3.3,3.3
31,19863,Dallas Goedert,PHI,TE,4,TEN,2,2,100,13,0,10,6.5,6.5,0,0,0,0,0,0,3.3,3.3
34,15378,Levine Toilolo,DET,TE,4,DAL,2,2,100,12,0,8,6,6,0,0,0,0,0,0,3.2,3.2
34,19803,Mark Andrews,BAL,TE,4,PIT,2,2,100,12,0,10,6,6,0,0,0,0,0,0,3.2,3.2
36,13170,Niles Paul,JAX,TE,4,NYJ,2,2,100,11,0,7,5.5,5.5,0,0,0,0,0,0,3.1,3.1
37,17963,Austin Hooper,ATL,TE,4,CIN,2,1,50,19,0,19,9.5,19,0,0,0,0,0,0,2.9,2.9
37,13016,Virgil Green,LAC,TE,4,SF,2,2,100,9,0,10,4.5,4.5,0,0,0,0,0,0,2.9,2.9
39,19947,Chris Herndon IV,NYJ,TE,4,JAX,1,1,100,18,0,18,18,18,0,0,0,0,0,0,2.8,2.8
40,18900,Mo Alie-Cox,IND,TE,4,HOU,2,1,50,17,0,17,8.5,17,0,0,0,0,0,0,2.7,2.7
40,17415,Matt LaCosse,DEN,TE,4,KC,1,1,100,17,0,17,17,17,0,0,0,0,0,0,2.7,2.7
42,18935,Gerald Everett,LAR,TE,4,MIN,1,1,100,13,0,13,13,13,0,0,0,0,0,0,2.3,2.3
42,19415,Jason Croom,BUF,TE,4,GB,1,1,100,13,0,13,13,13,0,0,0,0,0,0,2.3,2.3
44,14985,Ryan Griffin,HOU,TE,4,IND,1,1,100,12,0,12,12,12,0,0,0,0,0,0,2.2,2.2
45,19853,Mike Gesicki,MIA,TE,4,NE,2,1,50,9,0,9,4.5,9,0,0,0,0,0,0,1.9,1.9
46,19335,Antony Auclair,TB,TE,4,CHI,1,1,100,8,0,8,8,8,0,0,0,0,0,0,1.8,1.8
47,16327,Scott Simonson,NYG,TE,4,NO,1,1,100,7,0,7,7,7,0,0,0,0,0,0,1.7,1.7
48,16917,CJ Uzomah,CIN,TE,4,ATL,1,1,100,6,0,6,6,6,0,0,0,0,0,0,1.6,1.6
48,15263,Luke Willson,DET,TE,4,DAL,2,1,50,6,0,6,3,6,0,0,0,0,0,0,1.6,1.6
48,18399,Hakeem Valles,DET,TE,4,DAL,1,1,100,6,0,6,6,6,0,0,0,0,0,0,1.6,1.6
48,18019,Nick Vannett,SEA,TE,4,ARI,2,1,50,6,0,6,3,6,0,0,0,0,1,0,1.6,1.6
52,13386,Lance Kendricks,GB,TE,4,BUF,2,1,50,5,0,5,2.5,5,0,0,0,0,0,0,1.5,1.5
52,17154,Khari Lee,BUF,TE,4,GB,1,1,100,5,0,5,5,5,0,0,0,0,0,0,1.5,1.5
52,19950,Will Dissly,SEA,TE,4,ARI,1,1,100,5,0,5,5,5,0,0,0,0,0,0,1.5,1.5
55,18105,David Morgan,MIN,TE,4,LAR,1,1,100,3,0,3,3,3,0,0,0,0,0,0,1.3,1.3
56,13987,Dwayne Allen,NE,TE,4,MIA,2,1,50,-4,0,-4,-2,-4,0,0,0,0,0,0,0.6,0.6
57,18032,Tyler Higbee,LAR,TE,4,MIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,19165,Johnny Mundt,LAR,TE,4,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,19988,Tyler Conklin,MIN,TE,4,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,16846,Tyler Kroft,CIN,TE,4,ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,19035,Eric Saubert,ATL,TE,4,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,14876,Dion Sims,CHI,TE,4,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,18229,Ben Braunecker,CHI,TE,4,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,18901,OJ Howard,TB,TE,4,CHI,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,18133,Rico Gathers,DAL,TE,4,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,19457,Blake Jarwin,DAL,TE,4,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,3061,Marcedes Lewis,GB,TE,4,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,13370,Luke Stocker,TEN,TE,4,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,16903,MyCole Pruitt,TEN,TE,4,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,18468,Joshua Perkins,PHI,TE,4,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,18990,Jonnu Smith,TEN,TE,4,PHI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,16111,Ryan Hewitt,IND,TE,4,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,20020,Jordan Thomas,HOU,TE,4,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,19943,Durham Smythe,MIA,TE,4,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,17223,Eric Tomlinson,NYJ,TE,4,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,13861,Orson Charles,CLE,TE,4,OAK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,15640,Derek Carrier,OAK,TE,4,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,11026,Jermaine Gresham,ARI,TE,4,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,17182,Gabe Holmes,ARI,TE,4,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,14496,Garrett Celek,SF,TE,4,LAC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,18522,Cole Wick,SF,TE,4,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,19559,Sean Culkin,LAC,TE,4,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,16086,James Hurst,BAL,TE,4,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,16395,Xavier Grimble,PIT,TE,4,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
