PlayerID,Name,Team,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsDraftKings,salary,def_rk,h/a,surface,year
5511,Brent Celek,PHI,3,NYJ,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,3,away,turf,2015
6293,Matt Spaeth,PIT,3,LAR,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,26,away,grass,2015
7007,Daniel Fells,NYG,3,WAS,3,3,100.0,27,0,23,9.0,9.0,0,0,0.0,0,0,0,5.7,2500,16,away,grass,2015
7175,Delanie Walker,TEN,3,IND,10,7,70.0,68,0,19,6.8,9.7,0,0,0.0,0,0,0,13.8,2500,23,away,turf,2015
7635,Heath Miller,PIT,3,LAR,3,2,66.7,17,0,9,5.7,8.5,0,0,0.0,0,0,0,3.7,null,26,away,grass,2015
8142,Kellen Davis,NYJ,3,PHI,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,11,away,grass,2015
8508,David Johnson,LAC,3,MIN,0,0,0.0,0,0,0,0.0,0.0,1,2,2.0,0,0,0,0.2,2500,15,away,turf,2015
8534,Jared Cook,LAR,3,PIT,3,1,33.3,7,0,7,2.3,7.0,0,0,0.0,0,0,0,1.7,4500,25,away,grass,2015
8778,Brandon Myers,TB,3,HOU,4,3,75.0,18,0,10,4.5,6.0,0,0,0.0,0,0,0,4.8,2800,10,away,turf,2015
8848,John Phillips,LAC,3,MIN,4,4,100.0,35,0,15,8.8,8.8,0,0,0.0,0,0,0,7.5,4600,15,away,turf,2015
9671,Matthew Mulligan,BUF,3,MIA,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2800,7,away,grass,2015
10974,Rob Gronkowski,NE,3,JAX,7,4,57.1,101,0,43,14.4,25.2,0,0,0.0,0,0,0,17.1,4800,28,away,grass,2015
10992,Jeff Cumberland,NYJ,3,PHI,4,2,50.0,10,0,5,2.5,5.0,0,0,0.0,0,0,0,3.0,2900,11,away,grass,2015
11026,Jermaine Gresham,ARI,3,SF,3,2,66.7,34,0,22,11.3,17.0,0,0,0.0,0,0,0,5.4,2500,9,away,grass,2015
11101,Garrett Graham,HOU,3,TB,1,1,100.0,9,0,9,9.0,9.0,0,0,0.0,0,0,0,1.9,2500,21,away,grass,2015
11317,Clay Harbor,JAX,3,NE,5,3,60.0,43,1,26,8.6,14.3,0,0,0.0,0,0,0,13.3,3200,5,away,turf,2015
11400,Andrew Quarless,GB,3,KC,2,2,100.0,14,0,7,7.0,7.0,0,0,0.0,0,0,0,3.4,2500,2,away,grass,2015
11488,Jimmy Graham,SEA,3,CHI,8,7,87.5,83,1,30,10.4,11.9,0,0,0.0,0,0,0,21.3,2500,13,away,grass,2015
11555,Jim Dray,CLE,3,OAK,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,30,away,grass,2015
11603,Anthony McCoy,WAS,3,NYG,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,3400,31,away,turf,2015
11756,Benjamin Watson,NO,3,CAR,4,4,100.0,42,0,20,10.5,10.5,0,0,0.0,0,1,1,7.2,3500,12,away,grass,2015
12153,Ed Dickson,CAR,3,NO,3,2,66.7,19,0,10,6.3,9.5,0,0,0.0,0,0,0,3.9,2500,32,away,turf,2015
12415,Zach Miller,CHI,3,SEA,1,1,100.0,21,0,21,21.0,21.0,0,0,0.0,0,0,0,3.1,2600,22,away,turf,2015
12548,Scott Chandler,NE,3,JAX,2,2,100.0,25,0,17,12.5,12.5,0,0,0.0,0,0,0,4.5,2800,28,away,grass,2015
12751,Charles Clay,BUF,3,MIA,7,5,71.4,82,1,25,11.7,16.4,0,0,0.0,0,0,0,19.2,2800,7,away,grass,2015
12777,Lee Smith,OAK,3,CLE,1,1,100.0,8,0,8,8.0,8.0,0,0,0.0,0,0,0,1.8,2500,6,away,grass,2015
12861,Jordan Cameron,MIA,3,BUF,8,3,37.5,16,0,10,2.0,5.3,0,0,0.0,0,0,0,4.6,2500,8,away,turf,2015
13016,Virgil Green,DEN,3,DET,1,1,100.0,26,0,26,26.0,26.0,0,0,0.0,0,0,0,3.6,2500,27,away,turf,2015
13275,Kyle Rudolph,MIN,3,LAC,5,2,40.0,14,0,10,2.8,7.0,0,0,0.0,0,0,0,3.4,2500,18,away,grass,2015
13370,Luke Stocker,TB,3,HOU,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,10,away,turf,2015
13386,Lance Kendricks,LAR,3,PIT,5,2,40.0,12,0,7,2.4,6.0,0,0,0.0,0,0,0,3.2,7400,25,away,grass,2015
13406,Rob Housler,CLE,3,OAK,2,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,30,away,grass,2015
13997,Coby Fleener,IND,3,TEN,6,4,66.7,51,0,19,8.5,12.8,0,0,0.0,0,0,0,9.1,2500,24,away,grass,2015
14152,James Hanna,DAL,3,ATL,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,29,away,turf,2015
14445,Rhett Ellison,MIN,3,LAC,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,18,away,grass,2015
14496,Garrett Celek,SF,3,ARI,3,3,100.0,29,0,12,9.7,9.7,0,0,0.0,0,0,0,5.9,2500,20,away,grass,2015
14764,Cory Harkey,LAR,3,PIT,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,5800,25,away,grass,2015
