,,Week,games_avg,tar_avg,rec_avg,yds_avg,td_avg,fum_avg,def_rk_avg,games_ma,tar_ma,rec_ma,yds_ma,td_ma,fum_ma,def_rk_ma,games_car,tar_car,rec_car,yds_car,td_car,fum_car,def_rk_car,year,def_rk,h/a_1,surface_0,salary,points
Anthony Fasano_reframed,998,5.0,15.5,2.0,0.5,0.5,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.67,1.0,7.33,0.0,0.0,13.33,2016,25,0.0,1.0,0,2.0
Anthony Fasano_reframed,999,6.0,16.0,1.67,0.67,3.67,0.0,0.0,18.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,3.0,1.0,8.0,0.0,0.0,16.25,2016,31,1.0,1.0,4100,8.5
Anthony Fasano_reframed,1000,7.0,16.5,1.5,0.75,6.5,0.25,0.0,21.5,16.5,1.5,0.75,6.5,0.25,0.0,21.5,16.0,2.6,1.0,9.4,0.2,0.0,19.2,2016,23,1.0,1.0,0,2.0
Anthony Fasano_reframed,1001,8.0,17.0,1.6,0.8,7.2,0.2,0.0,21.8,17.0,1.6,0.8,7.2,0.2,0.0,21.8,16.5,2.5,1.0,9.5,0.17,0.0,19.83,2016,12,0.0,1.0,2500,1.9
Anthony Fasano_reframed,1002,10.0,17.5,1.5,0.83,7.5,0.17,0.0,20.17,17.5,1.5,0.8333333333333334,7.5,0.16666666666666666,0.0,20.166666666666668,17.0,2.29,1.0,9.43,0.14,0.0,18.71,2016,21,1.0,1.0,2500,7.9
Anthony Fasano_reframed,1003,11.0,18.0,1.43,0.86,7.71,0.29,0.0,20.29,18.0,1.4285714285714286,0.8571428571428571,7.714285714285714,0.2857142857142857,0.0,20.285714285714285,17.5,2.12,1.0,9.38,0.25,0.0,19.0,2016,9,0.0,1.0,2500,0.0
Anthony Fasano_reframed,1004,13.0,18.5,1.38,0.75,6.75,0.25,0.0,18.88,18.5,1.375,0.75,6.75,0.25,0.0,18.875,18.0,2.0,0.89,8.33,0.22,0.0,17.89,2016,19,1.0,1.0,2500,2.7
Anthony Fasano_reframed,1005,15.0,19.0,1.44,0.78,7.89,0.22,0.0,18.89,19.0,1.4444444444444444,0.7777777777777778,7.888888888888889,0.2222222222222222,0.0,18.88888888888889,18.5,2.0,0.9,9.2,0.2,0.0,18.0,2016,16,0.0,1.0,2500,2.2
Anthony Fasano_reframed,1939,17.0,19.5,1.4,0.8,8.3,0.2,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.91,0.91,9.45,0.18,0.0,17.82,2017,19,1.0,1.0,2500,0.0
Anthony Fasano_reframed,1940,6.0,25.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,1.0,0.5,6.0,0.0,0.0,17.5,2017,22,1.0,1.0,2500,11.5
