PlayerID,Name,Team,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsDraftKings,year,salary,def_rk,h/a,surface
16567,Brandon Coleman,NO,3,CAR,3,1,33.3,9,0,9,3.0,9.0,0,0,0.0,0,0,0,1.9,2015,9000,10,away,grass
16568,Brandin Cooks,NO,3,CAR,8,7,87.5,79,0,16,9.9,11.3,0,0,0.0,0,0,0,14.9,2015,3000,10,away,grass
16597,Mike Evans,TB,3,HOU,17,7,41.2,101,0,20,5.9,14.4,0,0,0.0,0,0,0,20.1,2015,5000,3,away,turf
16640,John Brown,ARI,3,SF,5,3,60.0,62,0,27,12.4,20.7,0,0,0.0,0,0,0,9.2,2015,3000,25,home,grass
16728,Dontrelle Inman,LAC,3,MIN,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,3400,11,away,turf
16731,Chris Matthews,SEA,3,CHI,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,3700,15,home,turf
16765,Amari Cooper,OAK,3,CLE,11,8,72.7,134,0,40,12.2,16.8,0,0,0.0,0,1,1,23.4,2015,7100,24,home,grass
16775,Devante Parker,MIA,3,BUF,7,3,42.9,46,0,19,6.6,15.3,0,0,0.0,0,0,0,7.6,2015,6600,18,home,grass
16781,Nelson Agholor,PHI,3,NYJ,4,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,5100,6,home,grass
16790,Phillip Dorsett,IND,3,TEN,3,2,66.7,43,1,35,14.3,21.5,0,0,0.0,0,0,0,12.3,2015,3000,19,home,turf
16798,Devin Smith,NYJ,3,PHI,9,3,33.3,39,0,16,4.3,13.0,0,0,0.0,0,0,0,6.9,2015,3000,30,away,grass
16801,Dorial Green-Beckham,TEN,3,IND,3,2,66.7,22,1,19,7.3,11.0,0,0,0.0,0,0,0,10.2,2015,3000,28,home,grass
16802,Devin Funchess,CAR,3,NO,4,1,25.0,14,0,14,3.5,14.0,0,0,0.0,0,0,0,2.4,2015,3000,32,home,grass
16830,Tyler Lockett,SEA,3,CHI,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,6.0,2015,6200,15,home,turf
16837,Chris Conley,KC,3,GB,1,1,100.0,16,0,16,16.0,16.0,0,0,0.0,0,0,0,2.6,2015,3200,5,away,grass
16848,Sammie Coates,PIT,3,LAR,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,5000,16,home,grass
16866,Jamison Crowder,WAS,3,NYG,6,6,100.0,45,0,15,7.5,7.5,0,0,0.0,0,0,0,12.5,2015,4600,31,home,grass
16935,Keith Mumphery,HOU,3,TB,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,3300,21,home,turf
16946,Geremy Davis,NYG,3,WAS,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,3000,27,away,grass
16964,Darren Waller,BAL,3,CIN,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,3300,9,home,grass
