Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
115,17141,Damiere Byrd,CAR,WR,5,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,13117,Dwayne Harris,OAK,WR,5,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,16946,Geremy Davis,LAC,WR,5,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,17218,Deandre Carter,PHI,WR,5,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,12722,Kamar Aiken,PHI,WR,5,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,13171,Aldrick Robinson,MIN,WR,5,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,19779,Brandon Zylstra,MIN,WR,5,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,16919,JJ Nelson,ARI,WR,5,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,20081,Trent Sherfield,ARI,WR,5,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,11667,Brandon Marshall,SEA,WR,5,LAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,15509,Jaron Brown,SEA,WR,5,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,16568,Brandin Cooks,LAR,WR,5,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,15066,Brice Butler,DAL,WR,5,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,16848,Sammie Coates,HOU,WR,5,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,14478,Michael Floyd,WAS,WR,5,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,19501,Justin Hardee,NO,WR,5,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,19659,Dan Arnold,NO,WR,5,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,14111,Rod Streater,CLE,WR,5,BAL,0,0,0,0,0,0,0,0,1,-11,-11,0,0,0,-1.1,-1.1
