Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
218,19916,Daesean Hamilton,DEN,WR,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,16919,JJ Nelson,ARI,WR,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,18974,Chad Williams,ARI,WR,1,WAS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,20079,Trey Quinn,WAS,WR,1,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,20081,Trent Sherfield,ARI,WR,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,20529,Cam Sims,WAS,WR,1,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,17141,Damiere Byrd,CAR,WR,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,14795,Josh Bellamy,CHI,WR,1,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,16768,Kevin White,CHI,WR,1,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19491,Robert Tonyan Jr.,GB,WR,1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19976,Marquez Valdes-Scantling,GB,WR,1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,17271,Bradley Marquez,DET,WR,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,18157,Charone Peake,NYJ,WR,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,13117,Dwayne Harris,OAK,WR,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,18039,Pharoh Cooper,LAR,WR,1,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,18445,Mike Thomas,LAR,WR,1,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19017,Josh Reynolds,LAR,WR,1,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
