PassingAttempts,PassingRating,PlayerID,comp,comp%,def_rk,int,points,ru_att,ru_td,ru_yds,ru_yds/att,salary,td,yds,yds/att,h/a_encoded,surface_encoded,passingattempts_car,passingrating_car,playerid_car,comp_car,comp%_car,def_rk_car,int_car,points_car,ru_att_car,ru_td_car,ru_yds_car,ru_yds/att_car,salary_car,td_car,yds_car,yds/att_car,h/a_encoded_car,surface_encoded_car,year
46,106.7,13443,33,71.7,24,0,30.5,9,0,51,5.7,7300,2,335,7.3,0,0,36.0,94.86,13443.0,25.0,68.55,17.5,0.0,20.6,8.0,0.0,46.0,5.8,7350.0,1.0,250.0,6.8,0.0,0.5,2015
19,16.67,13443,9,47.4,12,4,9.28,7,1,46,6.6,5100,0,67,3.5,0,0,30.33,68.79,13443.0,19.67,61.5,15.67,1.33,16.83,7.67,0.33,46.0,6.07,6600.0,0.67,189.0,5.7,0.0,0.33,2015
25,55.42,13443,13,52.0,7,1,11.1,10,0,57,5.7,6200,0,160,6.4,0,0,29.0,65.45,13443.0,18.0,59.13,13.5,1.25,15.4,8.25,0.25,48.75,5.98,6500.0,0.5,181.75,5.88,0.0,0.25,2015
70,214.16,26886,46,131.4,62,0,41.56,6,0,46,15.4,10200,4,524,15.0,0,2,37.2,95.19,16131.6,23.6,73.58,23.2,1.0,20.63,7.8,0.2,48.2,7.86,7240.0,1.2,250.2,7.7,0.0,0.6,2015
27,128.24,13443,16,59.3,19,0,25.6,3,0,10,3.3,5700,2,340,12.6,0,0,35.5,100.7,15683.5,22.33,71.2,22.5,0.83,21.46,7.0,0.17,41.83,7.1,6983.33,1.33,265.17,8.52,0.0,0.5,2015
24,68.75,13443,13,54.2,2,0,4.96,0,0,0,0.0,5000,0,124,5.2,0,1,33.86,96.14,15363.43,21.0,68.77,19.57,0.71,19.1,6.0,0.14,35.86,6.09,6700.0,1.14,245.0,8.04,0.0,0.57,2015
41,59.2,13443,20,48.8,10,0,9.28,6,0,28,4.7,5100,0,162,4.0,0,0,34.75,91.52,15123.38,20.88,66.28,18.38,0.62,17.87,6.0,0.12,34.88,5.91,6500.0,1.0,234.62,7.54,0.0,0.5,2015
0,0.0,11047,0,0.0,32,0,0.0,0,0,0,0.0,5100,0,0,0.0,1,0,0.0,0.0,11047.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,5100.0,0.0,0.0,0.0,1.0,0.0,2015
11,133.9,11047,7,63.6,5,0,8.82,3,0,-3,-1.0,0,1,128,11.6,0,1,5.5,66.95,11047.0,3.5,31.8,18.5,0.0,4.41,1.5,0.0,-1.5,-0.5,2550.0,0.5,64.0,5.8,0.5,0.5,2015
0,0.0,8590,0,0.0,11,0,0.0,0,0,0,0.0,6900,0,0,0.0,0,1,0.0,0.0,8590.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6900.0,0.0,0.0,0.0,0.0,1.0,2015
76,133.78,17180,42,110.6,24,2,21.28,0,0,0,0.0,10800,2,382,10.0,2,2,38.0,66.89,12885.0,21.0,55.3,17.5,1.0,10.64,0.0,0.0,0.0,0.0,8850.0,1.0,191.0,5.0,1.0,1.5,2015
2,64.58,8590,1,50.0,9,0,0.4,0,0,0,0.0,5000,0,10,5.0,0,0,26.0,66.12,11453.33,14.33,53.53,14.67,0.67,7.23,0.0,0.0,0.0,0.0,7566.67,0.67,130.67,5.0,0.67,1.0,2015
0,0.0,12083,0,0.0,21,0,0.2,2,0,2,1.0,5400,0,0,0.0,1,0,0.0,0.0,12083.0,0.0,0.0,21.0,0.0,0.2,2.0,0.0,2.0,1.0,5400.0,0.0,0.0,0.0,1.0,0.0,2015
6,82.64,12083,4,66.7,8,0,1.24,3,0,-2,-0.7,5000,0,36,6.0,1,0,3.0,41.32,12083.0,2.0,33.35,14.5,0.0,0.72,2.5,0.0,0.0,0.15,5200.0,0.0,18.0,3.0,1.0,0.0,2015
12,71.88,16311,7,58.3,3,0,3.24,1,0,8,8.0,6000,0,61,5.1,1,0,12.0,71.88,16311.0,7.0,58.3,3.0,0.0,3.24,1.0,0.0,8.0,8.0,6000.0,0.0,61.0,5.1,1.0,0.0,2015
46,100.91,16311,30,65.2,19,1,30.34,2,0,23,11.5,6600,3,351,7.6,1,0,29.0,86.4,16311.0,18.5,61.75,11.0,0.5,16.79,1.5,0.0,15.5,9.75,6300.0,1.5,206.0,6.35,1.0,0.0,2015
32,115.89,16311,20,62.5,28,0,23.46,1,0,-1,-1.0,5000,2,314,9.8,0,0,30.0,96.23,16311.0,19.0,62.0,16.67,0.33,19.01,1.33,0.0,10.0,6.17,5866.67,1.67,242.0,7.5,0.67,0.0,2015
33,84.91,16311,20,60.6,25,1,13.84,1,0,0,0.0,5300,2,196,5.9,0,0,30.75,93.4,16311.0,19.25,61.65,18.75,0.5,17.72,1.25,0.0,7.5,4.62,5725.0,1.75,230.5,7.1,0.5,0.0,2015
78,164.2,32622,52,133.4,2,2,23.72,2,0,-2,-2.0,12000,2,498,12.8,2,0,40.2,107.56,19573.2,25.8,76.0,15.4,0.8,18.92,1.4,0.0,5.6,3.3,6980.0,1.8,284.0,8.24,0.8,0.0,2015
31,137.7,16311,24,77.4,13,0,23.86,2,0,3,1.5,5300,3,289,9.3,0,0,38.67,112.58,19029.5,25.5,76.23,15.0,0.67,19.74,1.5,0.0,5.17,3.0,6700.0,2.0,284.83,8.42,0.67,0.0,2015
36,130.9,16311,23,63.9,14,0,32.12,2,0,-2,-1.0,5200,4,333,9.2,1,0,38.29,115.2,18641.14,25.14,74.47,14.86,0.57,21.51,1.57,0.0,4.14,2.43,6485.71,2.29,291.71,8.53,0.71,0.0,2015
44,96.88,16311,24,54.5,24,1,30.34,2,0,3,1.5,5500,4,301,6.8,0,0,39.0,112.91,18349.88,25.0,71.98,16.0,0.62,22.62,1.62,0.0,4.0,2.31,6362.5,2.5,292.88,8.31,0.62,0.0,2015
43,83.67,16311,29,67.4,11,2,22.28,2,0,12,6.0,5600,2,302,7.0,1,0,39.44,109.66,18123.33,25.44,71.47,15.44,0.78,22.58,1.67,0.0,4.89,2.72,6277.78,2.44,293.89,8.17,0.67,0.0,2015
25,73.58,16311,13,52.0,23,0,7.56,1,0,8,8.0,5000,0,169,6.8,0,1,38.0,106.05,17942.1,24.2,69.52,16.2,0.7,21.08,1.6,0.0,5.2,3.25,6150.0,2.2,281.4,8.03,0.6,0.1,2015
37,120.33,16311,24,64.9,27,0,27.7,4,0,5,1.2,5000,3,330,8.9,0,0,37.91,107.35,17793.82,24.18,69.1,17.18,0.64,21.68,1.82,0.0,5.18,3.06,6045.45,2.27,285.82,8.11,0.55,0.09,2015
48,68.32,16311,31,64.6,9,3,16.32,1,0,0,0.0,5000,2,283,5.9,1,0,38.75,104.1,17670.25,24.75,68.73,16.5,0.83,21.23,1.75,0.0,4.75,2.81,5958.33,2.25,285.58,7.93,0.58,0.08,2015
29,78.95,16311,12,41.4,1,0,13.0,4,0,-4,-1.0,6000,2,135,4.7,0,0,38.0,102.16,17565.69,23.77,66.62,15.31,0.77,20.6,1.92,0.0,4.08,2.52,5961.54,2.23,274.0,7.68,0.54,0.08,2015
47,63.79,16311,23,48.9,7,2,21.24,4,0,42,10.5,6100,2,276,5.9,1,0,38.64,99.42,17476.07,23.71,65.36,14.71,0.86,20.64,2.07,0.0,6.79,3.09,5971.43,2.21,274.14,7.55,0.57,0.07,2015
38,72.7,16311,23,60.5,13,1,16.16,4,0,30,7.5,6500,1,204,5.4,1,0,38.6,97.64,17398.4,23.67,65.03,14.6,0.87,20.35,2.2,0.0,8.33,3.38,6006.67,2.13,269.47,7.41,0.6,0.07,2015
33,77.08,16311,21,63.6,9,1,11.96,2,0,12,6.0,5300,1,194,5.9,0,0,38.25,96.36,17330.44,23.5,64.94,14.25,0.88,19.82,2.19,0.0,8.56,3.54,5962.5,2.06,264.75,7.31,0.56,0.06,2015
48,83.25,7242,30,62.5,12,1,20.5,1,0,3,3.0,8200,1,355,7.4,0,0,48.0,83.25,7242.0,30.0,62.5,12.0,1.0,20.5,1.0,0.0,3.0,3.0,8200.0,1.0,355.0,7.4,0.0,0.0,2015
38,80.48,7242,24,63.2,22,1,13.1,1,0,-1,-1.0,5500,1,255,6.7,0,0,43.0,81.87,7242.0,27.0,62.85,17.0,1.0,16.8,1.0,0.0,1.0,1.0,6850.0,1.0,305.0,7.05,0.0,0.0,2015
41,119.41,7242,33,80.5,5,0,25.36,0,0,0,0.0,5000,2,359,8.8,0,1,42.33,94.38,7242.0,29.0,68.73,13.0,0.67,19.65,0.67,0.0,0.67,0.67,6233.33,1.33,323.0,7.63,0.0,0.33,2015
86,181.5,14484,52,121.0,60,2,42.6,2,0,-2,-2.0,12400,4,670,15.6,0,0,53.25,116.16,9052.5,34.75,81.8,24.75,1.0,25.39,1.0,0.0,0.0,0.0,7775.0,2.0,409.75,9.62,0.0,0.25,2015
