,Name,Week,Opponent,tar_car,rec_car,yds_car,td_car,fum_car,def_rk_car
285,Brandon Williams,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
286,Brandon Williams,9.0,BUF,2.0,1.0,16.0,0.0,0.0,6.0
287,Brandon Williams,17.0,SF,1.5,1.0,18.0,0.0,0.0,12.0
288,Brandon Williams,2.0,ARI,1.0,1.0,20.0,0.0,0.0,17.5
289,Brandon Williams,3.0,CLE,1.0,1.0,15.67,0.0,0.0,21.67
290,Brandon Williams,4.0,SEA,1.25,1.0,19.75,0.0,0.0,18.5
291,Brandon Williams,5.0,SF,1.6,1.4,19.2,0.0,0.0,17.8
292,Brandon Williams,7.0,JAX,1.67,1.33,17.0,0.0,0.0,16.67
293,Brandon Williams,9.0,HOU,1.71,1.43,17.43,0.0,0.0,18.14
294,Brandon Williams,13.0,JAX,1.75,1.5,16.62,0.0,0.0,17.25
295,Brandon Williams,14.0,BUF,1.89,1.56,15.67,0.0,0.0,18.11
296,Brent Celek,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
297,Brent Celek,1.0,ATL,1.0,1.0,6.0,0.0,0.0,29.0
298,Brent Celek,4.0,WAS,1.5,1.0,8.0,0.5,0.0,22.5
299,Brent Celek,5.0,NO,2.0,1.67,20.0,0.67,0.0,25.67
300,Brent Celek,7.0,CAR,2.25,1.75,17.75,0.5,0.0,22.25
301,Brent Celek,10.0,MIA,2.6,2.2,41.0,0.4,0.0,19.2
302,Brent Celek,11.0,TB,3.83,3.0,47.33,0.33,0.0,19.5
303,Brent Celek,12.0,DET,3.86,2.86,42.0,0.43,0.0,20.57
304,Brent Celek,13.0,NE,3.5,2.62,38.75,0.38,0.0,18.62
305,Brent Celek,14.0,BUF,3.33,2.44,34.56,0.33,0.0,17.44
306,Brent Celek,15.0,ARI,3.2,2.4,34.2,0.3,0.0,17.7
307,Brent Celek,16.0,WAS,3.0,2.27,32.73,0.27,0.0,17.55
308,Brent Celek,17.0,NYG,2.92,2.25,33.17,0.25,0.0,18.67
309,Brent Celek,1.0,CLE,1.5,1.5,24.5,0.0,0.0,31.0
310,Brent Celek,2.0,CHI,1.33,1.0,16.33,0.0,0.0,23.67
311,Brent Celek,3.0,PIT,2.0,1.5,27.5,0.0,0.0,22.0
312,Brent Celek,7.0,MIN,2.0,1.4,23.4,0.0,0.0,19.8
313,Brent Celek,10.0,ATL,1.83,1.33,21.0,0.0,0.0,20.83
314,Brent Celek,11.0,SEA,1.71,1.29,20.71,0.0,0.0,18.43
315,Brent Celek,14.0,WAS,1.88,1.38,19.0,0.0,0.0,19.75
316,Brent Celek,15.0,BAL,1.78,1.33,17.44,0.0,0.0,18.67
317,Brent Celek,16.0,NYG,1.9,1.5,18.4,0.0,0.0,18.8
318,Brent Celek,17.0,DAL,1.91,1.45,17.55,0.0,0.0,20.0
319,Brent Celek,1.0,WAS,2.0,1.0,10.0,0.0,0.0,30.0
320,Brent Celek,4.0,LAC,1.67,0.67,6.67,0.0,0.0,22.67
321,Brent Celek,5.0,ARI,1.5,0.75,6.25,0.0,0.0,21.25
322,Brent Celek,7.0,WAS,1.6,0.8,5.6,0.0,0.0,22.6
323,Brent Celek,8.0,SF,1.67,0.83,7.0,0.0,0.0,21.33
324,Brent Celek,9.0,DEN,2.0,1.14,11.57,0.0,0.0,22.43
325,Brent Celek,11.0,DAL,2.0,1.12,13.62,0.0,0.0,22.25
326,Brent Celek,12.0,CHI,1.89,1.0,12.11,0.0,0.0,21.11
