Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
128,Dak Prescott,DAL,QB,1,170,0,0,19,0,0,0,0,0,0,0,0,9.7,9.7
129,Alfred Blue,HOU,RB,1,0,0,0,36,1,0,0,0,0,0,0,0,9.6,9.6
129,Kenyan Drake,MIA,RB,1,0,0,0,48,0,3,18,0,0,0,0,0,9.6,9.6
131,Marvin Jones,DET,WR,1,0,0,0,0,0,4,54,0,0,0,0,0,9.4,9.4
132,Delanie Walker,TEN,TE,1,0,0,0,0,0,4,52,0,0,0,0,0,9.2,9.2
133,Jordan Wilkins,IND,RB,1,0,0,0,40,0,3,21,0,0,0,0,0,9.1,9.1
134,Jesse James,PIT,TE,1,0,0,0,0,0,3,60,0,0,0,0,0,9,9
135,Tyrell Williams,LAC,WR,1,0,0,0,0,0,2,8,1,0,0,0,0,8.8,8.8
135,Chase Edmonds,ARI,RB,1,0,0,0,24,0,4,24,0,0,0,0,0,8.8,8.8
137,Josh Gordon,CLE,WR,1,0,0,0,0,0,1,17,1,0,0,0,0,8.7,8.7
138,Leonard Fournette,JAX,RB,1,0,0,0,41,0,3,14,0,0,0,0,0,8.5,8.5
138,Theo Riddick,DET,RB,1,0,0,0,20,0,5,15,0,0,0,0,0,8.5,8.5
140,Keelan Cole,JAX,WR,1,0,0,0,0,0,3,54,0,0,0,0,0,8.4,8.4
140,Benjamin Watson,NO,TE,1,0,0,0,0,0,4,44,0,0,0,0,0,8.4,8.4
142,Rashaad Penny,SEA,RB,1,0,0,0,8,0,4,35,0,0,0,0,0,8.3,8.3
143,Eli Manning,NYG,QB,1,224,0,1,2,0,0,0,0,0,0,0,0,8.2,8.16
144,Kyle Rudolph,MIN,TE,1,0,0,0,0,0,1,11,1,0,0,0,0,8.1,8.1
145,Houston Texans,HOU,DST,1,0,0,0,0,0,0,0,0,2,1,2,2,8,8
145,New England Patriots,NE,DST,1,0,0,0,0,0,0,0,0,3,1,0,1,8,8
145,Detroit Lions,DET,DST,1,0,0,0,0,0,0,0,0,2,1,1,1,8,8
145,Devonta Freeman,ATL,RB,1,0,0,0,36,0,3,14,0,0,0,0,0,8,8
149,Rex Burkhead,NE,RB,1,0,0,0,64,0,1,5,0,0,0,0,0,7.9,7.9
149,Alex Collins,BAL,RB,1,0,0,0,13,1,1,6,0,0,0,0,0,7.9,7.9
149,Terrelle Pryor,NYJ,WR,1,0,0,0,0,0,3,49,0,0,0,0,0,7.9,7.9
152,Bilal Powell,NYJ,RB,1,0,0,0,60,0,1,5,0,0,0,0,0,7.5,7.5
152,Taylor Gabriel,CHI,WR,1,0,0,0,0,0,5,25,0,0,0,0,0,7.5,7.5
154,OJ Howard,TB,TE,1,0,0,0,0,0,2,54,0,0,0,0,0,7.4,7.4
154,Tyler Eifert,CIN,TE,1,0,0,0,0,0,3,44,0,0,0,0,0,7.4,7.4
156,John Ross,CIN,WR,1,0,0,0,0,0,1,3,1,0,0,0,0,7.3,7.3
156,Robert Woods,LAR,WR,1,0,0,0,6,0,3,37,0,0,0,0,0,7.3,7.3
158,Darren Sproles,PHI,RB,1,0,0,0,10,0,4,22,0,0,0,0,0,7.2,7.2
159,Royce Freeman,DEN,RB,1,0,0,0,71,0,0,0,0,0,0,0,0,7.1,7.1
159,De'Anthony Thomas,KC,WR,1,0,0,0,0,0,1,1,1,0,0,0,0,7.1,7.1
159,Devin Funchess,CAR,WR,1,0,0,0,0,0,3,41,0,0,0,0,0,7.1,7.1
159,Tarik Cohen,CHI,RB,1,0,0,0,25,0,3,16,0,0,0,0,0,7.1,7.1
163,Atlanta Falcons,ATL,DST,1,0,0,0,0,0,0,0,0,2,1,0,1,7,7
163,Tampa Bay Buccaneers,TB,DST,1,0,0,0,0,0,0,0,0,1,0,2,2,7,7
163,Seattle Seahawks,SEA,DST,1,0,0,0,0,0,0,0,0,1,3,0,0,7,7
163,Green Bay Packers,GB,DST,1,0,0,0,0,0,0,0,0,4,0,2,1,7,7
163,Nick Boyle,BAL,TE,1,0,0,0,0,0,3,40,0,0,0,0,0,7,7
168,Peyton Barber,TB,RB,1,0,0,0,69,0,0,0,0,0,0,0,0,6.9,6.9
169,Albert Wilson,MIA,WR,1,0,0,0,7,0,3,31,0,0,0,0,0,6.8,6.8
169,Trent Taylor,SF,WR,1,0,0,0,0,0,4,28,0,0,0,0,0,6.8,6.8
171,Kerryon Johnson,DET,RB,1,0,0,0,17,0,3,20,0,0,0,0,0,6.7,6.7
172,Kyle Juszczyk,SF,FB,1,0,0,0,0,0,1,56,0,0,0,0,0,6.6,6.6
172,Danny Amendola,MIA,WR,1,0,0,0,0,0,4,26,0,0,0,0,0,6.6,6.6
174,Courtland Sutton,DEN,WR,1,0,0,0,0,0,2,45,0,0,0,0,0,6.5,6.5
175,Maxx Williams,BAL,TE,1,0,0,0,0,0,3,32,0,0,0,0,0,6.2,6.2
175,Jamison Crowder,WAS,WR,1,0,0,0,0,0,3,32,0,0,0,0,0,6.2,6.2
175,James Develin,NE,RB,1,0,0,0,0,0,4,22,0,0,0,0,0,6.2,6.2
175,Paul Richardson,WAS,WR,1,0,0,0,0,0,4,22,0,0,0,0,0,6.2,6.2
175,Andre Roberts,NYJ,WR,1,0,0,0,2,0,0,0,0,0,0,0,0,6.2,6.2
180,Frank Gore,MIA,RB,1,0,0,0,61,0,0,0,0,0,0,0,0,6.1,6.1
180,Alex Armah,CAR,RB,1,0,0,0,1,1,0,0,0,0,0,0,0,6.1,6.1
180,Matt Breida,SF,RB,1,0,0,0,46,0,1,5,0,0,0,0,0,6.1,6.1
180,Mark Andrews,BAL,TE,1,0,0,0,0,0,3,31,0,0,0,0,0,6.1,6.1
184,Nick Foles,PHI,QB,1,117,0,1,-1,0,1,15,0,0,0,0,0,6.1,6.08
185,San Francisco 49ers,SF,DST,1,0,0,0,0,0,0,0,0,3,0,1,1,6,6
185,Dallas Cowboys,DAL,DST,1,0,0,0,0,0,0,0,0,3,0,2,1,6,6
185,Darius Jennings,TEN,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6
188,Mohamed Sanu,ATL,WR,1,0,0,0,0,0,4,18,0,0,0,0,0,5.8,5.8
189,Luke Stocker,TEN,TE,1,0,0,0,0,0,2,37,0,0,0,0,0,5.7,5.7
189,Deonte Thompson,DAL,WR,1,0,0,0,0,0,3,27,0,0,0,0,0,5.7,5.7
189,Adam Humphries,TB,WR,1,0,0,0,0,0,3,27,0,0,0,0,0,5.7,5.7
189,Neal Sterling,NYJ,WR,1,0,0,0,0,0,3,27,0,0,0,0,0,5.7,5.7
193,Antonio Gates,LAC,TE,1,0,0,0,0,0,2,16,0,0,0,0,0,5.6,5.6
193,Tyler Boyd,CIN,WR,1,0,0,0,0,0,3,26,0,0,0,0,0,5.6,5.6
193,Zay Jones,BUF,WR,1,0,0,0,0,0,3,26,0,0,0,0,0,5.6,5.6
196,Josh Allen,BUF,QB,1,74,0,0,26,0,0,0,0,0,0,0,0,5.6,5.56
197,Austin Seferian-Jenkins,JAX,TE,1,0,0,0,0,0,3,25,0,0,0,0,0,5.5,5.5
198,Austin Hooper,ATL,TE,1,0,0,0,0,0,3,24,0,0,0,0,0,5.4,5.4
199,Greg Olsen,CAR,TE,1,0,0,0,0,0,2,33,0,0,0,0,0,5.3,5.3
199,Jarius Wright,CAR,WR,1,0,0,0,0,0,3,23,0,0,0,0,0,5.3,5.3
199,Jordy Nelson,OAK,WR,1,0,0,0,0,0,3,23,0,0,0,0,0,5.3,5.3
202,Sammy Watkins,KC,WR,1,0,0,0,0,0,3,21,0,0,0,0,0,5.1,5.1
203,Indianapolis Colts,IND,DST,1,0,0,0,0,0,0,0,0,2,1,2,1,5,5
203,Arizona Cardinals,ARI,DST,1,0,0,0,0,0,0,0,0,3,0,2,1,5,5
203,Spencer Ware,KC,RB,1,0,0,0,32,0,1,8,0,0,0,0,0,5,5
206,Kareem Hunt,KC,RB,1,0,0,0,49,0,0,0,0,0,0,0,0,4.9,4.9
206,Jake Butt,DEN,TE,1,0,0,0,0,0,2,29,0,0,0,0,0,4.9,4.9
206,Ricky Seals-Jones,ARI,TE,1,0,0,0,0,0,3,19,0,0,0,0,0,4.9,4.9
209,Lamar Jackson,BAL,QB,1,24,0,0,39,0,0,0,0,0,0,0,0,4.9,4.86
210,Sam Bradford,ARI,QB,1,153,0,1,7,0,0,0,0,0,0,0,0,4.8,4.82
211,Rashard Higgins,CLE,WR,1,0,0,0,0,0,1,38,0,0,0,0,0,4.8,4.8
211,Ty Montgomery,GB,RB,1,0,0,0,7,0,2,21,0,0,0,0,0,4.8,4.8
211,Geoff Swaim,DAL,TE,1,0,0,0,0,0,3,18,0,0,0,0,0,4.8,4.8
211,Chester Rogers,IND,WR,1,0,0,0,0,0,3,18,0,0,0,0,0,4.8,4.8
215,Jamaal Williams,GB,RB,1,0,0,0,47,0,0,0,0,0,0,0,0,4.7,4.7
216,Malcolm Brown,LAR,RB,1,0,0,0,5,0,2,18,0,0,0,0,0,4.3,4.3
216,David Njoku,CLE,TE,1,0,0,0,0,0,3,13,0,0,0,0,0,4.3,4.3
218,Latavius Murray,MIN,RB,1,0,0,0,42,0,0,0,0,0,0,0,0,4.2,4.2
219,Jeremy Hill,NE,RB,1,0,0,0,25,0,1,6,0,0,0,0,0,4.1,4.1
219,Derrick Henry,TEN,RB,1,0,0,0,26,0,1,5,0,0,0,0,0,4.1,4.1
219,Pierre Garcon,SF,WR,1,0,0,0,0,0,2,21,0,0,0,0,0,4.1,4.1
219,Virgil Green,LAC,TE,1,0,0,0,0,0,2,21,0,0,0,0,0,4.1,4.1
223,New York Giants,NYG,DST,1,0,0,0,0,0,0,0,0,1,1,0,0,4,4
223,Austin Carr,NO,WR,1,0,0,0,0,0,2,20,0,0,0,0,0,4,4
223,Derek Carrier,OAK,TE,1,0,0,0,0,0,2,20,0,0,0,0,0,4,4
226,Laquon Treadwell,MIN,WR,1,0,0,0,0,0,2,18,0,0,0,0,0,3.8,3.8
226,Evan Engram,NYG,TE,1,0,0,0,0,0,2,18,0,0,0,0,0,3.8,3.8
226,Jason Croom,BUF,TE,1,0,0,0,0,0,2,18,0,0,0,0,0,3.8,3.8
229,Jordan Thomas,HOU,TE,1,0,0,0,0,0,1,27,0,0,0,0,0,3.7,3.7
229,Doug Martin,OAK,RB,1,0,0,0,20,0,2,-3,0,0,0,0,0,3.7,3.7
231,Blaine Gabbert,TEN,QB,1,117,0,1,0,0,0,0,0,0,0,0,0,3.7,3.68
232,Marcus Mariota,TEN,QB,1,103,0,2,15,0,0,0,0,0,0,0,0,3.6,3.62
233,CJ Anderson,CAR,RB,1,0,0,0,35,0,0,0,0,0,0,0,0,3.5,3.5
233,Duke Johnson,CLE,RB,1,0,0,0,17,0,1,8,0,0,0,0,0,3.5,3.5
233,Devontae Booker,DEN,RB,1,0,0,0,4,0,2,11,0,0,0,0,0,3.5,3.5
236,Logan Thomas,BUF,TE,1,0,0,0,0,0,1,24,0,0,0,0,0,3.4,3.4
236,Anthony Miller,CHI,WR,1,0,0,0,0,0,2,14,0,0,0,0,0,3.4,3.4
238,Marcus Murphy,BUF,RB,1,0,0,0,31,0,0,0,0,0,0,0,0,3.1,3.1
238,LeSean McCoy,BUF,RB,1,0,0,0,22,0,1,-1,0,0,0,0,0,3.1,3.1
238,Trenton Cannon,NYJ,RB,1,0,0,0,15,0,1,6,0,0,0,0,0,3.1,3.1
238,Jordan Akins,HOU,TE,1,0,0,0,0,0,2,11,0,0,0,0,0,3.1,3.1
242,Travis Benjamin,LAC,WR,1,0,0,0,19,0,1,1,0,0,0,0,0,3,3
242,Allen Hurns,DAL,WR,1,0,0,0,0,0,1,20,0,0,0,0,0,3,3
244,Cordarrelle Patterson,NE,WR,1,0,0,0,13,0,1,6,0,0,0,0,0,2.9,2.9
244,Dion Sims,CHI,TE,1,0,0,0,0,0,2,9,0,0,0,0,0,2.9,2.9
246,Alfred Morris,SF,RB,1,0,0,0,38,0,0,0,0,0,0,0,0,2.8,2.8
246,Zach Pascal,IND,WR,1,0,0,0,0,0,1,18,0,0,0,0,0,2.8,2.8
246,Amari Cooper,OAK,WR,1,0,0,0,9,0,1,9,0,0,0,0,0,2.8,2.8
246,Wayne Gallman,NYG,RB,1,0,0,0,-1,0,2,9,0,0,0,0,0,2.8,2.8
246,Jimmy Graham,GB,TE,1,0,0,0,0,0,2,8,0,0,0,0,0,2.8,2.8
251,Tajae Sharpe,TEN,WR,1,0,0,0,0,0,1,17,0,0,0,0,0,2.7,2.7
251,Jeremy Kerley,BUF,WR,1,0,0,0,0,0,2,7,0,0,0,0,0,2.7,2.7
253,Corey Clement,PHI,RB,1,0,0,0,26,0,0,0,0,0,0,0,0,2.6,2.6
