PlayerID,Name,Team,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsDraftKings,salary,def_rk,h/a,surface,year
16127,Isaiah Crowell,CLE,2,TEN,15,72,4.8,1,0,0,0,0,0,0,13.2,3400,19,away,grass,2015
16142,Terrance West,TEN,2,CLE,3,10,3.3,0,0,0,0,0,1,1,0.0,7200,24,away,grass,2015
16144,Dri Archer,PIT,2,SF,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,25,away,grass,2015
16178,Bishop Sankey,TEN,2,CLE,12,42,3.5,0,2,0,0,0,0,0,4.2,3000,24,away,grass,2015
16189,Alfred Blue,HOU,2,CAR,5,6,1.2,0,1,1,4,0,0,0,2.0,3000,10,away,grass,2015
16210,Jay Prosch,HOU,2,CAR,1,4,4.0,0,0,0,0,0,0,0,0.4,4400,10,away,grass,2015
16287,Juwan Thompson,DEN,2,KC,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,7,away,grass,2015
16307,Charcandrick West,KC,2,DEN,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,2,away,grass,2015
16345,Branden Oliver,LAC,2,CIN,1,2,2.0,0,0,0,0,0,0,0,0.2,3000,9,away,turf,2015
16378,Keith Smith,DAL,2,PHI,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,30,away,grass,2015
16402,Andre Williams,NYG,2,ATL,6,43,7.2,0,0,0,0,0,0,0,4.3,3400,12,away,turf,2015
16510,Jerick McKinnon,MIN,2,DET,3,6,2.0,0,0,0,0,0,0,0,0.6,3000,20,away,turf,2015
16524,Devonta Freeman,ATL,2,NYG,12,25,2.1,1,8,4,34,0,0,0,15.9,3000,31,away,turf,2015
