Name,Opponent,PlayerID,Team,Week,att,def_rk,fum,h/a_1,points,rec,rec_td,rec_yds,ru_att,ru_td,ru_yds,ru_yds/att,salary,surface_0,tar,td,yds,yds/att,year
Fozzy Whittaker,JAX,15616,CAR,1,,27,0,0.0,2.5,2,,,2.0,0.0,2.0,1.0,3000,1.0,2,0,3,,2015
Derrick Coleman,LAR,15631,SEA,1,,23,0,0.0,0.2,0,,,1.0,0.0,2.0,2.0,6400,1.0,0,0,0,,2015
Khiry Robinson,ARI,15645,NO,1,,8,0,0.0,12.0,5,,,8.0,0.0,19.0,2.4,3000,1.0,6,0,51,,2015
Toben Opurum,ARI,15765,NO,1,,8,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Orleans Darkwa,DAL,16008,NYG,1,,25,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,0.0,0,0,0,,2015
Damien Williams,WAS,16031,MIA,1,,20,0,0.0,1.3,1,,,1.0,0.0,0.0,0.0,3000,1.0,1,0,3,,2015
James White,PIT,16056,NE,1,,2,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3500,0.0,0,0,0,,2015
Jeremy Hill,OAK,16112,CIN,1,,21,0,0.0,18.3,0,,,19.0,2.0,63.0,3.3,3000,1.0,0,0,0,,2015
Nikita Whitlock,DAL,16120,NYG,1,,25,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,0.0,0,0,0,,2015
Isaiah Crowell,NYJ,16127,CLE,1,,5,0,0.0,5.3,2,,,12.0,0.0,20.0,1.7,3000,0.0,2,0,13,,2015
Terrance West,TB,16142,TEN,1,,11,1,0.0,3.1,0,,,13.0,0.0,41.0,3.2,3500,1.0,0,0,0,,2015
Dri Archer,NE,16144,PIT,1,,12,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3800,0.0,0,0,0,,2015
Bishop Sankey,TB,16178,TEN,1,,11,0,0.0,22.6,2,,,12.0,1.0,74.0,6.2,7100,1.0,3,1,12,,2015
Alfred Blue,KC,16189,HOU,1,,3,0,1.0,5.9,1,,,9.0,0.0,42.0,4.7,3000,0.0,2,0,7,,2015
Jay Prosch,KC,16210,HOU,1,,3,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,4600,0.0,0,0,0,,2015
Juwan Thompson,BAL,16287,DEN,1,,6,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3600,1.0,0,0,0,,2015
Charcandrick West,HOU,16307,KC,1,,7,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3300,0.0,0,0,0,,2015
Branden Oliver,DET,16345,LAC,1,,17,0,0.0,3.1,1,,,2.0,0.0,4.0,2.0,3000,0.0,1,0,17,,2015
Keith Smith,NYG,16378,DAL,1,,24,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,4300,0.0,0,0,0,,2015
Andre Williams,DAL,16402,NYG,1,,25,0,0.0,1.4,0,,,6.0,0.0,14.0,2.3,3600,0.0,0,0,0,,2015
