PlayerID,Name,Team,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsDraftKings,salary,h/a,surface,year,def_rk
16838,Duke Johnson,CLE,1,NYJ,7,22,3.1,0,0,0,0,0,0,0,2.2,5300,away,turf,2015,5
16847,David Johnson,ARI,1,NO,0,0,0.0,0,2,1,55,1,0,0,12.5,3000,home,grass,2015,29
16855,Ty Montgomery,GB,1,CHI,0,0,0.0,0,0,0,0,0,0,0,0.0,5500,away,grass,2015,22
16856,Matt Jones,WAS,1,MIA,6,28,4.7,0,0,0,0,0,0,0,2.8,5500,home,grass,2015,31
16867,Jeremy Langford,CHI,1,GB,1,1,1.0,0,0,0,0,0,0,0,0.1,4000,home,grass,2015,13
16869,Jalston Fowler,TEN,1,TB,0,0,0.0,0,0,0,0,0,0,0,0.0,4800,away,grass,2015,11
16886,Javorius Allen,BAL,1,DEN,9,30,3.3,0,1,1,4,0,0,0,4.4,3000,away,grass,2015,14
16915,Karlos Williams,BUF,1,IND,6,55,9.2,1,0,0,0,0,0,0,11.5,3800,home,turf,2015,18
16928,Michael Burton,DET,1,LAC,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,away,grass,2015,26
16934,Cameron Artis-Payne,CAR,1,JAX,0,0,0.0,0,0,0,0,0,0,0,0.0,3700,away,grass,2015,27
16955,Malcolm Johnson,CLE,1,NYJ,0,0,0.0,0,2,2,14,0,0,0,3.4,3000,away,turf,2015,5
16965,Josh Robinson,IND,1,BUF,4,11,2.8,0,1,0,0,0,0,0,1.1,3000,away,turf,2015,10
16966,Aaron Ripkowski,GB,1,CHI,0,0,0.0,0,0,0,0,0,0,0,0.0,3500,away,grass,2015,22
16989,Marcus Murphy,NO,1,ARI,0,0,0.0,0,0,0,0,0,0,0,0.0,3200,away,grass,2015,8
17016,Terrence Magee,BAL,1,DEN,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,away,grass,2015,14
17023,Zach Zenner,DET,1,LAC,2,6,3.0,0,0,0,0,0,0,0,0.6,3000,away,grass,2015,26
17030,Tyler Varga,IND,1,BUF,1,2,2.0,0,1,1,18,0,0,0,3.0,3500,away,turf,2015,10
17050,Thomas Rawls,SEA,1,LAR,2,5,2.5,0,0,0,0,0,0,0,0.5,3000,away,grass,2015,23
17089,Terron Ward,ATL,1,PHI,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,home,turf,2015,28
17197,Corey Grant,JAX,1,CAR,0,0,0.0,0,1,1,5,0,0,0,1.5,3000,home,grass,2015,19
17254,Jarryd Hayne,SF,1,MIN,4,13,3.2,0,1,1,7,0,1,1,2.0,3000,home,grass,2015,9
733,Jerome Felton,BUF,2,NE,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,home,turf,2015,12
1589,John Kuhn,GB,2,SEA,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,home,grass,2015,1
2699,Matt Forte,CHI,2,ARI,15,61,4.1,0,5,4,44,0,0,0,14.5,3000,home,grass,2015,8
3382,Marcel Reece,OAK,2,BAL,0,0,0.0,0,2,1,16,0,0,0,2.6,3000,home,grass,2015,6
4738,Mike Tolbert,CAR,2,HOU,5,31,6.2,0,3,2,4,0,0,0,5.5,3000,home,grass,2015,7
4807,Adrian Peterson,MIN,2,DET,29,134,4.6,0,2,2,58,0,2,1,23.2,3000,home,turf,2015,17
5451,Jonathan Stewart,CAR,2,HOU,17,62,3.6,0,1,1,-3,0,0,0,6.9,null,home,grass,2015,7
5701,Fred Jackson,SEA,2,GB,0,0,0.0,0,2,2,16,1,1,1,8.6,7700,away,grass,2015,13
5820,Frank Gore,IND,2,NYJ,15,57,3.8,0,1,1,4,0,1,1,6.1,3400,home,turf,2015,5
6198,Darren Sproles,PHI,2,DAL,1,-4,-4.0,0,4,4,23,0,0,0,5.9,3800,home,grass,2015,25
6828,Chris Johnson,ARI,2,CHI,20,72,3.6,0,1,0,0,0,0,0,7.2,3000,away,grass,2015,22
7580,DeAngelo Williams,PIT,2,SF,20,77,3.8,3,5,4,15,0,0,0,31.2,7700,home,grass,2015,32
7969,Jamaal Charles,KC,2,DEN,21,125,6.0,1,5,4,2,0,2,2,23.7,5500,home,grass,2015,14
8066,Darren McFadden,DAL,2,PHI,10,31,3.1,0,2,2,21,0,0,0,7.2,3300,away,grass,2015,28
8649,Rashad Jennings,NYG,2,ATL,9,12,1.3,0,2,2,12,0,0,0,4.4,4800,home,turf,2015,30
9369,Justin Forsett,BAL,2,OAK,15,68,4.5,0,4,4,12,0,0,0,12.0,3500,away,grass,2015,21
10949,CJ Spiller,NO,2,TB,3,7,2.3,0,1,1,19,0,0,0,3.6,3800,home,turf,2015,11
11220,Dexter McCluster,TEN,2,CLE,10,98,9.8,0,4,4,26,0,0,0,16.4,5300,away,grass,2015,16
11256,Ryan Mathews,PHI,2,DAL,1,0,0.0,0,0,0,0,0,0,0,0.0,7600,home,grass,2015,25
11737,Cedric Peerman,CIN,2,LAC,0,0,0.0,0,0,0,0,0,0,0,0.0,4200,home,turf,2015,26
11932,LeSean McCoy,BUF,2,NE,15,89,5.9,0,4,3,27,0,0,0,14.6,3000,home,turf,2015,12
11969,Darrel Young,WAS,2,LAR,0,0,0.0,0,0,0,0,0,0,0,0.0,5000,home,grass,2015,23
12239,Chris Ivory,NYJ,2,IND,14,57,4.1,0,2,2,3,0,0,0,8.0,6200,away,turf,2015,18
12285,Anthony Dixon,BUF,2,NE,0,0,0.0,0,0,0,0,0,0,0,0.0,5000,home,turf,2015,12
12296,LeGarrette Blount,NE,2,BUF,2,4,2.0,0,0,0,0,0,0,0,0.4,3000,away,turf,2015,10
12317,Danny Woodhead,LAC,2,CIN,7,36,5.1,0,6,6,68,0,0,0,16.4,3600,away,turf,2015,15
12323,Joique Bell,DET,2,MIN,4,2,0.5,0,2,2,16,0,0,0,3.8,3000,away,turf,2015,9
12386,Marshawn Lynch,SEA,2,GB,15,41,2.7,0,6,3,21,0,0,0,9.2,3000,away,grass,2015,13
12506,James Starks,GB,2,SEA,20,95,4.8,0,4,4,11,0,1,1,13.6,7400,home,grass,2015,1
12708,Dion Lewis,NE,2,BUF,7,40,5.7,1,9,6,98,0,1,1,24.8,6600,away,turf,2015,10
12780,Shane Vereen,NYG,2,ATL,6,19,3.2,0,8,8,76,0,0,0,17.5,3000,home,turf,2015,30
12787,Nick Bellore,SF,2,PIT,0,0,0.0,0,0,0,0,0,0,0,0.0,4700,away,grass,2015,2
12800,Bilal Powell,NYJ,2,IND,12,38,3.2,0,5,4,16,0,1,0,9.4,null,away,turf,2015,18
13063,Taiwan Jones,OAK,2,BAL,2,9,4.5,0,1,1,6,0,0,0,2.5,5000,home,grass,2015,6
13102,Jordan Todman,PIT,2,SF,1,11,11.0,0,0,0,0,0,0,0,1.1,4000,home,grass,2015,32
13124,DeMarco Murray,PHI,2,DAL,13,2,0.2,0,5,5,53,0,0,0,10.5,4600,home,grass,2015,25
13158,Shaun Draughn,CLE,2,TEN,0,0,0.0,0,0,0,0,0,0,0,0.0,7200,home,grass,2015,4
13163,Roy Helu,OAK,2,BAL,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,home,grass,2015,6
13255,Matt Asiata,MIN,2,DET,2,8,4.0,0,0,0,0,0,0,0,0.8,3000,home,turf,2015,17
13299,Jacquizz Rodgers,CHI,2,ARI,2,8,4.0,0,0,0,0,0,0,0,0.8,3400,home,grass,2015,8
13337,Mark Ingram,NO,2,TB,16,53,3.3,1,3,3,5,0,1,1,13.8,null,home,turf,2015,11
13418,Anthony Sherman,KC,2,DEN,0,0,0.0,0,0,0,0,0,0,0,0.0,4200,home,grass,2015,14
13446,Bruce Miller,SF,2,PIT,0,0,0.0,0,2,1,7,0,0,0,1.7,3000,away,grass,2015,2
13527,Tyler Clutts,DAL,2,PHI,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,away,grass,2015,28
13735,Chris Polk,HOU,2,CAR,14,38,2.7,0,8,2,9,0,0,0,6.7,3000,away,grass,2015,19
13741,Brandon Bolden,NE,2,BUF,1,1,1.0,0,1,1,2,0,0,0,1.3,7000,away,turf,2015,10
13791,Lamar Miller,MIA,2,JAX,10,14,1.4,0,6,5,28,0,0,0,9.2,3000,away,grass,2015,27
13800,Marcus Thigpen,BUF,2,NE,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,home,turf,2015,12
13852,Bobby Rainey,TB,2,NO,0,0,0.0,0,1,1,8,0,0,0,1.8,3000,away,turf,2015,29
14046,Ronnie Hillman,DEN,2,KC,9,34,3.8,0,1,0,0,0,0,0,3.4,3000,away,grass,2015,3
14269,Alfred Morris,WAS,2,LAR,18,59,3.3,0,2,2,13,0,0,0,9.2,5900,home,grass,2015,23
14352,Travaris Cadet,NE,2,BUF,0,0,0.0,0,1,1,2,0,0,0,1.2,3000,away,turf,2015,10
14385,Doug Martin,TB,2,NO,21,78,3.7,0,2,2,20,0,1,1,10.8,3000,away,turf,2015,29
14421,Isaiah Pead,LAR,2,WAS,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,away,grass,2015,20
14538,Jorvorskie Lane,TB,2,NO,0,0,0.0,0,0,0,0,0,0,0,0.0,2500,away,turf,2015,29
14620,Will Johnson,PIT,2,SF,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,home,grass,2015,32
14687,Bernard Pierce,JAX,2,MIA,3,4,1.3,0,0,0,0,0,0,0,0.4,3000,home,grass,2015,31
