Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
62,Spencer Ware,KC,RB,1,LAC,5.4,22.3,4.4,0.1,1.39,1,9.3,0,0.1,0.1,3.6,3.56
63,Rashaad Penny,SEA,RB,1,DEN,5.4,20.6,4.2,0.1,1.34,1,7.5,0,0,0,3.4,3.41
64,Rob Kelley,WAS,RB,1,ARI,5.1,19.8,4,0.2,1.04,0.7,4.2,0,0.1,0.1,3.4,3.4
65,Chase Edmonds,ARI,RB,1,WAS,4.9,18.3,3.6,0.1,1.62,1.1,9.3,0,0,0,3.4,3.36
66,Kenneth Dixon,BAL,RB,1,BUF,3.8,17.4,4.2,0.1,1.72,1.3,8.9,0,0,0,3.2,3.23
67,Alfred Blue,HOU,RB,1,NE,4.8,19.9,4,0.1,1.48,1.1,8.1,0,0.1,0.1,3.2,3.2
68,Chris Ivory,BUF,RB,1,BAL,6.5,21.6,3.7,0.1,1.28,0.9,6.3,0,0.1,0.1,3.2,3.19
69,Nick Chubb,CLE,RB,1,PIT,5.8,22.2,3.7,0.1,1,0.7,5.2,0,0.1,0.1,3.1,3.14
70,D'Onta Foreman,HOU,RB,1,NE,5.2,22.7,4.6,0.1,0.4,0.3,3.9,0,0.1,0.1,3.1,3.06
71,Corey Grant,JAX,RB,1,NYG,4.5,17.7,4.5,0.1,1.02,0.7,5.8,0,0,0,3,2.95
72,Rod Smith,DAL,RB,1,CAR,4,16.1,4,0.1,0.91,0.7,6.5,0,0,0,2.9,2.86
73,Jalen Richard,OAK,RB,1,LAR,3,12.5,4,0.1,2.2,1.5,11.9,0,0.1,0.1,2.8,2.84
74,Christine Michael,IND,RB,1,CIN,3.5,16,4,0.1,1.02,0.7,5.4,0,0,0,2.7,2.74
75,Ronald Jones II,TB,RB,1,NO,4.3,17.7,4.5,0.1,0.85,0.6,5.3,0,0.1,0.1,2.7,2.7
76,Jonathan Stewart,NYG,RB,1,JAX,4,14.9,3.8,0.1,0.69,0.5,3.7,0,0,0,2.5,2.46
77,Kyle Juszczyk,SF,FB,1,MIN,0.5,1.9,0,0,3.28,2.4,18.4,0.1,0.1,0.1,2.4,2.43
78,CJ Prosise,SEA,RB,1,DEN,2.6,8.7,3,0,2.09,1.6,15.4,0,0,0,2.4,2.41
79,Wayne Gallman,NYG,RB,1,JAX,3.6,15.1,3.8,0,2.3,1.6,10.5,0,0.1,0.1,2.4,2.36
80,Phillip Lindsay,DEN,RB,1,SEA,2.5,8.7,4.5,0.1,0.92,0.7,6.5,0,0,0,2.1,2.12
81,Malcolm Brown,LAR,RB,1,OAK,3.2,12.3,4,0.1,0.42,0.3,2.1,0,0,0,2,2.04
82,John Kelly,LAR,RB,1,OAK,2.3,9.3,4.5,0.1,0.72,0.5,4,0,0,0,1.9,1.93
83,Ameer Abdullah,DET,RB,1,NYJ,2.6,8.9,3,0.1,0.68,0.5,3.4,0,0,0,1.8,1.83
