games,year,Name,Team,Week,Opponent,att,yds,td,tar,rec_yds,def_rk,h/a_1,surface_0,points
12,2016,Akeem Hunt,HOU,14,IND,1,19,0,0,0,25,0.0,0.0,1.9
13,2016,Akeem Hunt,HOU,15,JAX,3,15,0,0,0,14,1.0,0.0,1.5
14,2016,Akeem Hunt,HOU,16,CIN,1,6,0,2,28,21,1.0,0.0,5.4
15,2016,Akeem Hunt,HOU,17,TEN,0,0,0,0,0,2,0.0,1.0,0.0
16,2017,Akeem Hunt,KC,2,PHI,0,0,0,0,0,2,1.0,1.0,0.0
17,2017,Akeem Hunt,KC,3,LAC,0,0,0,0,0,23,0.0,1.0,0.0
18,2017,Akeem Hunt,KC,4,WAS,0,0,0,1,0,28,1.0,1.0,0.0
19,2017,Akeem Hunt,KC,5,HOU,0,0,0,0,0,7,0.0,0.0,0.0
20,2017,Akeem Hunt,KC,6,PIT,1,3,0,0,0,18,1.0,1.0,0.3
21,2017,Akeem Hunt,KC,7,OAK,0,0,0,2,1,19,0.0,1.0,1.1
22,2017,Akeem Hunt,KC,8,DEN,0,0,0,0,0,4,1.0,1.0,0.0
23,2017,Akeem Hunt,KC,9,DAL,0,0,0,0,0,8,0.0,0.0,0.0
24,2017,Akeem Hunt,KC,11,NYG,1,3,0,0,0,22,0.0,0.0,0.3
25,2017,Akeem Hunt,KC,12,BUF,1,-10,0,1,6,32,1.0,1.0,0.6
26,2017,Akeem Hunt,KC,13,NYJ,1,2,0,1,20,21,0.0,0.0,3.2
27,2017,Akeem Hunt,KC,14,OAK,0,0,0,0,0,19,1.0,1.0,0.0
28,2017,Akeem Hunt,KC,15,LAC,0,0,0,0,0,23,1.0,1.0,0.0
29,2017,Akeem Hunt,KC,16,MIA,0,0,0,0,0,25,1.0,1.0,0.0
30,2017,Akeem Hunt,KC,17,DEN,4,25,0,2,4,4,0.0,1.0,3.9
1,2016,Alan Cross,TB,3,LAR,0,0,0,1,0,16,1.0,1.0,0.0
2,2016,Alan Cross,TB,4,DEN,0,0,0,1,0,18,1.0,1.0,0.0
3,2016,Alan Cross,TB,5,CAR,0,0,0,1,5,15,0.0,1.0,1.5
4,2016,Alan Cross,TB,7,SF,0,0,0,0,0,32,0.0,1.0,0.0
5,2016,Alan Cross,TB,8,OAK,0,0,0,0,0,23,1.0,1.0,0.0
6,2016,Alan Cross,TB,9,ATL,0,0,0,0,0,29,1.0,1.0,0.0
7,2016,Alan Cross,TB,10,CHI,0,0,0,0,0,5,1.0,1.0,0.0
8,2016,Alan Cross,TB,11,KC,0,0,0,1,3,17,0.0,1.0,7.3
9,2016,Alan Cross,TB,12,SEA,0,0,0,1,10,4,1.0,1.0,2.0
10,2016,Alan Cross,TB,13,LAC,0,0,0,2,8,28,0.0,1.0,1.8
11,2016,Alan Cross,TB,14,NO,0,0,0,0,0,30,1.0,1.0,0.0
12,2016,Alan Cross,TB,15,DAL,0,0,0,1,7,3,0.0,0.0,1.7
13,2016,Alan Cross,TB,16,NO,0,0,0,1,5,30,0.0,0.0,1.5
14,2016,Alan Cross,TB,17,CAR,0,0,0,1,0,15,1.0,1.0,0.0
15,2017,Alan Cross,TB,2,CHI,0,0,0,1,6,11,1.0,1.0,1.6
16,2017,Alan Cross,TB,3,MIN,0,0,0,1,5,1,0.0,0.0,1.5
17,2017,Alan Cross,TB,4,NYG,0,0,0,0,0,22,1.0,1.0,0.0
18,2017,Alan Cross,TB,13,GB,0,0,0,1,13,24,0.0,1.0,2.3
