Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
136,8066,Darren McFadden,DAL,RB,2,PHI,23,11,4200,4.0
141,15045,Knile Davis,KC,RB,2,DEN,1,8,3000,3.9
142,5701,Fred Jackson,BUF,RB,1,IND,null,null,3900,3.8
143,15616,Fozzy Whittaker,CAR,RB,1,JAX,null,null,3500,3.6
143,13446,Bruce Miller,SF,FB,1,MIN,null,null,3000,3.6
145,16915,Karlos Williams,BUF,RB,1,IND,null,null,3000,3.5
145,14719,Jonathan Grimes,HOU,RB,2,CAR,3,10,3000,3.5
145,12506,James Starks,GB,RB,2,SEA,17,8,3000,3.5
148,4738,Mike Tolbert,CAR,FB,1,JAX,null,null,3000,3.3
148,16345,Branden Oliver,LAC,RB,1,DET,null,null,3500,3.3
150,13299,Jacquizz Rodgers,CHI,RB,2,ARI,18,19,3000,3.2
151,16886,Javorius Allen,BAL,RB,2,OAK,28,28,3400,3.1
152,15230,Stepfan Taylor,ARI,RB,2,CHI,25,15,3000,2.9
153,16887,Mike Davis,SF,RB,2,PIT,30,12,3200,2.7
153,13741,Brandon Bolden,NE,RB,2,BUF,11,2,3000,2.7
153,15221,Zac Stacy,NYJ,RB,2,IND,16,32,3000,2.7
156,4738,Mike Tolbert,CAR,FB,2,HOU,24,20,3000,2.6
156,13063,Taiwan Jones,OAK,RB,2,BAL,5,5,3000,2.6
158,16163,Antonio Andrews,TEN,RB,2,CLE,21,30,3000,2.5
158,16855,Ty Montgomery,GB,RB,2,SEA,17,16,3000,2.5
160,14501,LaMichael James,MIA,RB,1,WAS,null,null,3000,2.4
161,15616,Fozzy Whittaker,CAR,RB,2,HOU,24,20,3000,2.3
162,13446,Bruce Miller,SF,FB,2,PIT,30,12,3000,2.2
163,14901,Kyle Juszczyk,BAL,FB,1,DEN,null,null,3000,2.1
163,16144,Dri Archer,PIT,RB,2,SF,2,9,3000,2.1
163,14620,Will Johnson,PIT,FB,2,SF,2,9,3100,2.1
163,16955,Malcolm Johnson,CLE,FB,2,TEN,10,30,3000,2.1
163,14901,Kyle Juszczyk,BAL,FB,2,OAK,28,28,3100,2.1
168,13735,Chris Polk,HOU,RB,2,CAR,3,10,3000,2.0
168,12285,Anthony Dixon,BUF,RB,2,NE,26,18,null,2.0
168,1589,John Kuhn,GB,FB,1,CHI,null,null,3000,2.0
168,14891,Tommy Bohanon,NYJ,FB,1,CLE,null,null,3000,2.0
168,15555,Zach Line,MIN,FB,1,SF,null,null,3000,2.0
168,13102,Jordan Todman,PIT,RB,2,SF,null,null,3000,2.0
174,16120,Nikita Whitlock,NYG,RB,1,DAL,null,null,3000,1.9
174,14352,Travaris Cadet,NE,RB,2,BUF,11,2,3000,1.9
174,14917,Rex Burkhead,CIN,RB,2,LAC,14,29,3000,1.9
174,15102,Chris Thompson,WAS,RB,2,LAR,15,13,3000,1.9
178,14620,Will Johnson,PIT,FB,1,NE,null,null,3100,1.8
178,13418,Anthony Sherman,KC,FB,1,HOU,null,null,3000,1.8
178,16955,Malcolm Johnson,CLE,FB,1,NYJ,null,null,3000,1.8
178,15631,Derrick Coleman,SEA,FB,1,LAR,null,null,3000,1.8
182,11969,Darrel Young,WAS,FB,1,MIA,null,null,3000,1.7
182,14786,Patrick DiMarco,ATL,FB,1,PHI,null,null,3000,1.7
184,14687,Bernard Pierce,JAX,RB,2,MIA,9,13,3000,1.6
184,13418,Anthony Sherman,KC,FB,2,DEN,1,8,3000,1.6
184,15191,Austin Johnson,NO,FB,2,TB,29,22,3000,1.6
184,11969,Darrel Young,WAS,FB,2,LAR,15,13,3000,1.6
188,14786,Patrick DiMarco,ATL,FB,2,NYG,27,21,3000,1.5
189,16287,Juwan Thompson,DEN,RB,2,KC,23,9,3000,1.4
190,16427,Ka'Deem Carey,CHI,RB,2,ARI,18,19,3000,1.3
191,16699,Fitzgerald Toussaint,PIT,RB,2,SF,2,9,null,1.1
192,13852,Bobby Rainey,TB,RB,1,TEN,null,null,3000,0.9
192,13158,Shaun Draughn,CLE,RB,2,TEN,10,6,3000,0.9
194,16934,Cameron Artis-Payne,CAR,RB,1,JAX,null,null,3500,0.8
194,15596,Chase Reynolds,LAR,RB,1,SEA,null,null,3000,0.8
196,16210,Jay Prosch,HOU,FB,1,KC,null,null,3000,0.7
196,16142,Terrance West,CLE,RB,1,NYJ,null,null,3600,0.7
196,13255,Matt Asiata,MIN,RB,1,SF,null,null,3000,0.7
196,733,Jerome Felton,BUF,FB,2,NE,26,18,3000,0.7
196,16869,Jalston Fowler,TEN,RB,2,CLE,21,30,3000,0.7
