Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
61,Sony Michel,NE,RB,3,DET,25,31,3900,10.08
62,Austin Ekeler,LAC,RB,4,SF,28,14,4200,9.84
63,Bilal Powell,NYJ,RB,4,JAX,1,9,3800,9.82
64,Alfred Morris,SF,RB,3,KC,32,28,3700,9.79
65,Isaiah Crowell,NYJ,RB,3,CLE,14,25,4500,9.68
66,Kerryon Johnson,DET,RB,3,NE,24,19,4600,9.57
67,Royce Freeman,DEN,RB,4,KC,31,31,4200,9.53
68,Jordan Wilkins,IND,RB,4,HOU,17,19,3900,9.37
69,Jamaal Williams,GB,RB,4,BUF,20,28,4300,9.01
70,Corey Grant,JAX,RB,3,TEN,17,5,4300,9
71,Theo Riddick,DET,RB,4,DAL,4,14,4300,8.85
72,Nyheim Hines,IND,RB,4,HOU,17,19,3800,8.71
73,Peyton Barber,TB,RB,4,CHI,9,2,3800,8.68
74,Derrick Henry,TEN,RB,4,PHI,13,1,4100,8.58
75,Austin Ekeler,LAC,RB,3,LAR,1,10,4700,8.47
76,Javorius Allen,BAL,RB,3,DEN,18,9,4600,8.44
77,Rashaad Penny,SEA,RB,3,DAL,3,11,4700,8.41
78,Royce Freeman,DEN,RB,3,BAL,6,2,4200,8.21
79,Derrick Henry,TEN,RB,3,JAX,8,20,4400,8.2
80,Chris Carson,SEA,RB,3,DAL,3,11,4800,8.13
81,TJ Yeldon,JAX,RB,4,NYJ,5,17,4900,8.08
82,Nyheim Hines,IND,RB,3,PHI,19,4,3600,8.06
82,Duke Johnson,CLE,RB,3,NYJ,4,7,4100,8.06
84,Alfred Morris,SF,RB,4,LAC,26,24,3800,7.99
85,Duke Johnson,CLE,RB,4,OAK,21,13,3900,7.87
86,Tarik Cohen,CHI,RB,4,TB,29,27,4100,7.8
87,Tarik Cohen,CHI,RB,3,ARI,27,32,5200,7.73
88,Aaron Jones,GB,RB,4,BUF,20,28,4100,7.69
89,Jalen Richard,OAK,RB,4,CLE,7,26,3400,7.47
90,Marcus Murphy,BUF,RB,3,MIN,13,6,3300,7.34
91,Ty Montgomery,GB,RB,4,BUF,20,28,3800,7.27
92,Frank Gore,MIA,RB,3,OAK,16,27,3700,7.18
93,Rashaad Penny,SEA,RB,4,ARI,18,32,3900,7.17
94,Ito Smith,ATL,RB,3,NO,29,3,3000,7.13
95,Wendell Smallwood,PHI,RB,3,IND,11,22,3000,7.12
96,Chris Ivory,BUF,RB,3,MIN,13,6,4000,6.72
97,Frank Gore,MIA,RB,4,NE,24,21,3600,6.54
98,Latavius Murray,MIN,RB,4,LAR,1,11,5300,6.4
99,Ty Montgomery,GB,RB,3,WAS,2,17,3500,6.21
100,Ito Smith,ATL,RB,4,CIN,23,22,3000,6.16
101,Jalen Richard,OAK,RB,3,MIA,5,23,3400,5.98
102,Mike Gillislee,NO,RB,3,ATL,14,25,3200,5.72
103,LeGarrette Blount,DET,RB,3,NE,24,19,4000,5.66
104,CJ Anderson,CAR,RB,3,CIN,25,12,3700,5.62
104,Aaron Jones,GB,RB,3,WAS,2,17,4300,5.62
104,Chris Ivory,BUF,RB,4,GB,22,18,4600,5.62
107,LeGarrette Blount,DET,RB,4,DAL,4,14,3900,5.54
108,Wendell Smallwood,PHI,RB,4,TEN,6,3,3600,5.53
109,Doug Martin,OAK,RB,3,MIA,5,23,3900,5.43
110,Chase Edmonds,ARI,RB,3,CHI,15,1,4500,5.21
111,Alfred Blue,HOU,RB,4,IND,11,23,3600,5.18
112,Chase Edmonds,ARI,RB,4,SEA,15,10,4300,5.13
113,Alfred Blue,HOU,RB,3,NYG,4,15,3600,5.12
114,Jacquizz Rodgers,TB,RB,3,PIT,29,11,3500,5.07
115,Josh Adams,PHI,RB,3,IND,11,22,3000,4.96
116,Devontae Booker,DEN,RB,4,KC,31,31,3700,4.93
116,Kyle Juszczyk,SF,FB,3,KC,32,28,3100,4.93
118,Mike Gillislee,NO,RB,4,NYG,12,8,3000,4.54
119,Kyle Juszczyk,SF,FB,4,LAC,26,24,3100,4.46
120,Spencer Ware,KC,RB,4,DEN,19,18,3700,4.39
121,Doug Martin,OAK,RB,4,CLE,7,26,3700,4.32
122,Spencer Ware,KC,RB,3,SF,23,7,3800,4.25
123,Wayne Gallman,NYG,RB,4,NO,31,4,3900,4.12
124,Jacquizz Rodgers,TB,RB,4,CHI,9,2,3400,4.03
125,Corey Grant,JAX,RB,4,NYJ,5,17,3800,3.91
126,Mark Walton,CIN,RB,3,CAR,12,14,3500,3.77
127,Mike Boone,MIN,RB,3,BUF,31,30,3000,3.75
127,Devontae Booker,DEN,RB,3,BAL,6,2,3500,3.75
129,Malcolm Brown,LAR,RB,4,MIN,14,7,4300,3.31
130,Josh Adams,PHI,RB,4,TEN,6,3,3000,3.21
131,Malcolm Brown,LAR,RB,3,LAC,21,24,4500,3.2
132,Rod Smith,DAL,RB,3,SEA,20,19,4000,3.16
133,Wayne Gallman,NYG,RB,3,HOU,10,18,3900,3.15
134,Nick Chubb,CLE,RB,3,NYJ,4,7,3700,3.06
135,Rod Smith,DAL,RB,4,DET,16,30,4000,2.94
136,Jonathan Williams,NO,RB,3,ATL,14,25,3600,2.92
137,Shaun Wilson,TB,RB,3,PIT,29,11,3000,2.9
138,Stevan Ridley,PIT,RB,4,BAL,3,4,3800,2.87
138,Tra Carson,CIN,RB,3,CAR,12,14,3000,2.87
140,Nick Chubb,CLE,RB,4,OAK,21,13,3500,2.86
141,Mark Walton,CIN,RB,4,ATL,27,29,3300,2.84
142,CJ Prosise,SEA,RB,4,ARI,18,32,3000,2.8
143,Anthony Sherman,KC,FB,3,SF,23,7,3000,2.57
144,Stevan Ridley,PIT,RB,3,TB,30,30,3600,2.55
145,Mike Davis,SEA,RB,4,ARI,18,32,3000,2.52
146,Ronald Jones II,TB,RB,4,CHI,9,2,3700,2.23
147,Dwayne Washington,NO,RB,4,NYG,12,8,null,2.19
148,Anthony Sherman,KC,FB,4,DEN,19,18,3000,2.14
149,Trenton Cannon,NYJ,RB,3,CLE,14,25,3000,2.05
150,Jaylen Samuels,PIT,FB,3,TB,30,30,3000,1.93
151,Roc Thomas,MIN,RB,3,BUF,31,30,3000,1.69
152,Christine Michael,IND,RB,3,PHI,19,4,3000,1.65
153,Jonathan Stewart,NYG,RB,3,HOU,10,18,3700,1.52
153,Mike Davis,SEA,RB,3,DAL,3,11,3000,1.52
155,Kenjon Barner,NE,RB,4,MIA,10,25,null,1.49
156,Jeremy McNichols,IND,RB,4,HOU,17,19,null,1.42
157,Brandon Wilds,JAX,RB,3,TEN,17,5,3000,1.38
157,Kalen Ballage,MIA,RB,4,NE,24,21,3300,1.38
159,Brandon Bolden,MIA,RB,3,OAK,16,27,3000,1.23
160,CJ Ham,MIN,RB,4,LAR,1,11,3000,1.21
161,Damien Williams,KC,RB,4,DEN,19,18,3000,1.16
162,Taiwan Jones,BUF,RB,3,MIN,13,6,3000,1.09
163,Trenton Cannon,NYJ,RB,4,JAX,1,9,3000,1.06
163,James Develin,NE,RB,3,DET,25,31,3000,1.06
165,James Develin,NE,RB,4,MIA,10,25,3000,1.05
166,Brian Hill,ATL,RB,3,NO,29,3,3000,1.01
167,Andy Janovich,DEN,FB,3,BAL,6,2,3000,0.99
168,Keith Smith,OAK,FB,3,MIA,5,23,3000,0.97
169,Raheem Mostert,SF,RB,3,KC,32,28,3000,0.94
169,Benjamin Cunningham,CHI,RB,4,TB,29,27,3400,0.94
171,Roosevelt Nix,PIT,RB,3,TB,30,30,3000,0.93
172,Benjamin Cunningham,CHI,RB,3,ARI,27,32,3400,0.92
173,Roosevelt Nix,PIT,RB,4,BAL,3,4,3000,0.89
174,Tyler Ervin,HOU,RB,4,IND,11,23,3000,0.85
175,Damien Williams,KC,RB,3,SF,23,7,3000,0.8
176,Zach Line,NO,FB,4,NYG,12,8,3000,0.79
177,Elijhaa Penny,NYG,RB,4,NO,31,4,3000,0.77
177,Raheem Mostert,SF,RB,4,LAC,26,24,3000,0.77
179,Mike Boone,MIN,RB,4,LAR,1,11,3000,0.75
179,Brandon Bolden,MIA,RB,4,NE,24,21,3000,0.75
181,Cameron Artis-Payne,CAR,RB,3,CIN,25,12,3000,0.68
181,Tre Madden,SEA,RB,4,ARI,18,32,3000,0.68
183,Patrick DiMarco,BUF,FB,4,GB,22,18,3000,0.61
184,Keith Smith,OAK,FB,4,CLE,7,26,3000,0.6
185,Justin Jackson,LAC,RB,4,SF,28,14,3000,0.59
186,Brian Hill,ATL,RB,4,CIN,23,22,3000,0.58
186,Kenneth Dixon,BAL,RB,4,PIT,30,5,3000,0.58
186,Taiwan Jones,BUF,RB,4,GB,22,18,3000,0.58
189,Elijhaa Penny,NYG,RB,3,HOU,10,18,null,0.57
190,CJ Ham,MIN,RB,3,BUF,31,30,3000,0.56
191,Derek Watt,LAC,FB,3,LAR,1,10,3000,0.54
192,Patrick DiMarco,BUF,FB,3,MIN,13,6,3000,0.52
193,Zach Line,NO,FB,3,ATL,14,25,3000,0.51
194,Justin Davis,LAR,RB,4,MIN,14,7,3000,0.5
195,David Williams,DEN,RB,4,KC,31,31,null,0.47
196,Jaylen Samuels,PIT,FB,4,BAL,3,4,3000,0.46
197,Senorise Perry,MIA,RB,3,OAK,16,27,3000,0.44
197,Tommy Bohanon,JAX,FB,4,NYJ,5,17,3000,0.44
199,Tyler Ervin,HOU,RB,3,NYG,4,15,3000,0.43
199,Justin Davis,LAR,RB,3,LAC,21,24,3000,0.43
201,Andy Janovich,DEN,FB,4,KC,31,31,3000,0.42
201,Tommy Bohanon,JAX,FB,3,TEN,17,5,3000,0.42
203,Jamize Olawale,DAL,FB,4,DET,16,30,3000,0.4
204,Detrez Newsome,LAC,RB,3,LAR,1,10,3000,0.39
205,Senorise Perry,MIA,RB,4,NE,24,21,3000,0.38
205,Derek Watt,LAC,FB,4,SF,28,14,3000,0.38
207,Alex Armah,CAR,RB,3,CIN,25,12,3000,0.36
207,Jamize Olawale,DAL,FB,3,SEA,20,19,3000,0.36
207,Jonathan Williams,NO,RB,4,NYG,12,8,3600,0.36
210,Michael Burton,CHI,FB,4,TB,29,27,3000,0.35
211,Tre Madden,SEA,RB,3,DAL,3,11,3000,0.33
212,Robert Turbin,IND,RB,4,HOU,17,19,3000,0.32
213,Michael Burton,CHI,FB,3,ARI,27,32,3000,0.31
214,Derrick Coleman,ARI,FB,4,SEA,15,10,3000,0.3
215,Roc Thomas,MIN,RB,4,LAR,1,11,3000,0.27
216,Daniel Lasco,NO,RB,4,NYG,12,8,null,0.24
217,Derrick Coleman,ARI,FB,3,CHI,15,1,3000,0.12
218,Elijah McGuire,NYJ,RB,3,CLE,14,25,3000,0
218,Dan Vitale,CLE,FB,3,NYJ,4,7,null,0
218,Devonta Freeman,ATL,RB,3,NO,29,3,6100,0
218,Ricky Ortiz,ATL,RB,3,NO,29,3,3000,0
218,Jerick McKinnon,SF,RB,3,KC,32,28,null,0
218,Deandre Washington,OAK,RB,3,MIA,5,23,3000,0
218,Kalen Ballage,MIA,RB,3,OAK,16,27,3300,0
218,Chris Warren III,OAK,RB,3,MIA,5,23,null,0
218,LeSean McCoy,BUF,RB,3,MIN,13,6,5100,0
218,Jeremy McNichols,IND,RB,3,PHI,19,4,null,0
218,Robert Turbin,IND,RB,3,PHI,19,4,3000,0
218,Darren Sproles,PHI,RB,3,IND,11,22,4400,0
218,Jay Ajayi,PHI,RB,3,IND,11,22,5700,0
218,Marlon Mack,IND,RB,3,PHI,19,4,3800,0
218,Byron Marshall,WAS,RB,3,GB,22,8,3000,0
218,Rob Kelley,WAS,RB,3,GB,22,8,3500,0
218,Kapri Bibbs,WAS,RB,3,GB,22,8,null,0
218,Joe Kerridge,GB,FB,3,WAS,2,17,null,0
218,Thomas Rawls,CIN,RB,3,CAR,12,14,null,0
218,Fozzy Whittaker,CAR,RB,3,CIN,25,12,null,0
218,Joe Mixon,CIN,RB,3,CAR,12,14,6300,0
218,Elijah Hood,CAR,RB,3,CIN,25,12,3000,0
218,Kenneth Dixon,BAL,RB,3,DEN,18,9,null,0
218,Paul Perkins,NYG,RB,3,HOU,10,18,null,0
218,D'Onta Foreman,HOU,RB,3,NYG,4,15,4000,0
218,John Kelly,LAR,RB,3,LAC,21,24,4500,0
218,Justin Jackson,LAC,RB,3,LAR,1,10,null,0
218,DJ Foster,ARI,RB,3,CHI,15,1,null,0
218,TJ Logan,ARI,RB,3,CHI,15,1,3500,0
218,Taquan Mizzell,CHI,RB,3,ARI,27,32,null,0
218,Bo Scarbrough,DAL,RB,3,SEA,20,19,null,0
218,CJ Prosise,SEA,RB,3,DAL,3,11,3300,0
218,JD McKissic,SEA,RB,3,DAL,3,11,3400,0
218,Jeremy Hill,NE,RB,3,DET,25,31,null,0
218,Ameer Abdullah,DET,RB,3,NE,24,19,3200,0
218,Nick Bawden,DET,FB,3,NE,24,19,null,0
218,Trey Edmunds,PIT,RB,3,TB,30,30,null,0
218,Le'Veon Bell,PIT,RB,3,TB,30,30,8800,0
218,Alan Cross,TB,FB,3,PIT,29,11,2500,0
218,Ronald Jones II,TB,RB,3,PIT,29,11,3600,0
218,Tra Carson,CIN,RB,4,ATL,27,29,null,0
218,Thomas Rawls,CIN,RB,4,ATL,27,29,3000,0
218,Devonta Freeman,ATL,RB,4,CIN,23,22,6000,0
218,Joe Mixon,CIN,RB,4,ATL,27,29,6400,0
218,Ricky Ortiz,ATL,RB,4,CIN,23,22,3000,0
218,Alan Cross,TB,FB,4,CHI,9,2,2500,0
218,Taquan Mizzell,CHI,RB,4,TB,29,27,null,0
218,Bo Scarbrough,DAL,RB,4,DET,16,30,null,0
218,Ameer Abdullah,DET,RB,4,DAL,4,14,3300,0
218,Nick Bawden,DET,FB,4,DAL,4,14,null,0
218,Marcus Murphy,BUF,RB,4,GB,22,18,3400,0
218,Joe Kerridge,GB,FB,4,BUF,20,28,null,0
218,Darren Sproles,PHI,RB,4,TEN,6,3,4400,0
218,Corey Clement,PHI,RB,4,TEN,6,3,4700,0
218,Christine Michael,IND,RB,4,HOU,17,19,3000,0
218,Marlon Mack,IND,RB,4,HOU,17,19,3800,0
218,D'Onta Foreman,HOU,RB,4,IND,11,23,4000,0
218,Rex Burkhead,NE,RB,4,MIA,10,25,4200,0
218,Jeremy Hill,NE,RB,4,MIA,10,25,null,0
218,Elijah McGuire,NYJ,RB,4,JAX,1,9,3000,0
218,Brandon Wilds,JAX,RB,4,NYJ,5,17,3000,0
218,Dan Vitale,CLE,FB,4,OAK,21,13,null,0
218,Deandre Washington,OAK,RB,4,CLE,7,26,3000,0
218,Chris Warren III,OAK,RB,4,CLE,7,26,null,0
218,DJ Foster,ARI,RB,4,SEA,15,10,null,0
218,JD McKissic,SEA,RB,4,ARI,18,32,3200,0
218,Chris Carson,SEA,RB,4,ARI,18,32,4600,0
218,TJ Logan,ARI,RB,4,SEA,15,10,3500,0
218,Mark Ingram,NO,RB,4,NYG,12,8,5800,0
218,Paul Perkins,NYG,RB,4,NO,31,4,null,0
218,Jonathan Stewart,NYG,RB,4,NO,31,4,3700,0
218,Jerick McKinnon,SF,RB,4,LAC,26,24,null,0
218,Detrez Newsome,LAC,RB,4,SF,28,14,3000,0
218,Trey Edmunds,PIT,RB,4,BAL,3,4,null,0
218,Le'Veon Bell,PIT,RB,4,BAL,3,4,8500,0
218,Darrel Williams,KC,RB,4,DEN,19,18,3000,0
