Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
142,16402,Andre Williams,NYG,RB,8,NO,5,7,1.4,0,0,0,0,0,0,0,0.7,0.7
143,14789,Jamize Olawale,OAK,FB,7,LAC,2,4,2,0,0,0,0,0,0,0,0.4,0.4
144,13163,Roy Helu,OAK,RB,7,LAC,4,3,0.8,0,0,0,0,0,0,0,0.3,0.3
144,16056,James White,NE,RB,8,MIA,3,3,1,0,0,0,0,0,0,0,0.3,0.3
144,16815,Ameer Abdullah,DET,RB,8,KC,1,3,3,0,2,0,0,0,0,0,0.3,0.3
144,14533,Robert Turbin,CLE,RB,8,ARI,3,3,1,0,0,0,0,0,0,0,0.3,0.3
144,15616,Fozzy Whittaker,CAR,RB,8,IND,1,3,3,0,1,0,0,0,1,0,0.3,0.3
149,15045,Knile Davis,KC,RB,7,PIT,1,2,2,0,0,0,0,0,0,0,0.2,0.2
149,17234,Alonzo Harris,GB,RB,8,DEN,2,2,1,0,0,0,0,0,0,0,0.2,0.2
151,11969,Darrel Young,WAS,FB,7,TB,1,1,1,0,0,0,0,0,0,0,0.1,0.1
152,12787,Nick Bellore,SF,RB,8,LAR,0,0,0,0,0,0,0,0,0,0,0,0
152,12787,Nick Bellore,SF,RB,7,SEA,0,0,0,0,0,0,0,0,0,0,0,0
152,16887,Mike Davis,SF,RB,7,SEA,0,0,0,0,0,0,0,0,0,0,0,0
152,13446,Bruce Miller,SF,FB,7,SEA,0,0,0,0,0,0,0,0,0,0,0,0
152,12649,Will Tukuafu,SEA,FB,7,SF,0,0,0,0,0,0,0,0,0,0,0,0
152,12285,Anthony Dixon,BUF,RB,7,JAX,0,0,0,0,0,0,0,0,0,0,0,0
152,733,Jerome Felton,BUF,FB,7,JAX,0,0,0,0,0,0,0,0,0,0,0,0
152,15018,Denard Robinson,JAX,RB,7,BUF,0,0,0,0,0,0,0,0,0,0,0,0
152,14687,Bernard Pierce,JAX,RB,7,BUF,0,0,0,0,0,0,0,0,0,0,0,0
152,14538,Jorvorskie Lane,TB,FB,7,WAS,0,0,0,0,0,0,0,0,0,0,0,0
152,16869,Jalston Fowler,TEN,RB,7,ATL,0,0,0,0,0,0,0,0,0,0,0,0
152,14786,Patrick DiMarco,ATL,FB,7,TEN,1,0,0,0,0,0,0,0,0,0,0,0
152,16178,Bishop Sankey,TEN,RB,7,ATL,0,0,0,0,1,0,0,0,0,0,0,0
152,16989,Marcus Murphy,NO,RB,7,IND,0,0,0,0,0,0,0,0,0,0,0,0
152,16240,Zurlon Tipton,IND,RB,7,NO,0,0,0,0,0,0,0,0,0,0,0,0
152,16928,Michael Burton,DET,FB,7,MIN,1,0,0,0,0,0,0,0,0,0,0,0
152,15497,George Winn,DET,RB,7,MIN,1,0,0,0,0,0,0,0,0,0,0,0
152,16144,Dri Archer,PIT,RB,7,KC,0,0,0,0,0,0,0,0,0,0,0,0
152,13418,Anthony Sherman,KC,FB,7,PIT,0,0,0,0,0,0,0,0,0,0,0,0
152,13102,Jordan Todman,PIT,RB,7,KC,0,0,0,0,0,0,0,0,0,0,0,0
152,14620,Will Johnson,PIT,FB,7,KC,0,0,0,0,0,0,0,0,0,0,0,0
152,16534,Roosevelt Nix,PIT,RB,7,KC,0,0,0,0,0,0,0,0,0,0,0,0
152,15596,Chase Reynolds,LAR,RB,7,CLE,0,0,0,0,0,0,0,0,0,0,0,0
152,16636,Trey Watts,LAR,RB,7,CLE,0,0,0,0,0,0,0,0,0,0,0,0
152,16955,Malcolm Johnson,CLE,FB,7,LAR,0,0,0,0,0,0,0,0,0,0,0,0
152,14719,Jonathan Grimes,HOU,RB,7,MIA,0,0,0,0,1,0,0,0,0,0,0,0
152,16210,Jay Prosch,HOU,FB,7,MIA,0,0,0,0,0,0,0,0,0,0,0,0
152,8604,Donald Brown,LAC,RB,7,OAK,0,0,0,0,0,0,0,0,0,0,0,0
152,16120,Nikita Whitlock,NYG,RB,7,DAL,0,0,0,0,0,0,0,0,0,0,0,0
152,13527,Tyler Clutts,DAL,FB,7,NYG,0,0,0,0,0,0,0,0,0,0,0,0
152,16934,Cameron Artis-Payne,CAR,RB,7,PHI,1,0,0,0,0,0,0,0,0,0,0,0
152,15616,Fozzy Whittaker,CAR,RB,7,PHI,0,0,0,0,1,0,0,0,0,0,0,0
152,17217,Raheem Mostert,BAL,RB,7,ARI,0,0,0,0,0,0,0,0,0,0,0,0
152,15230,Stepfan Taylor,ARI,RB,7,BAL,0,0,0,0,0,0,0,0,0,0,0,0
152,16031,Damien Williams,MIA,RB,8,NE,0,0,0,0,0,0,0,0,0,0,0,0
152,13741,Brandon Bolden,NE,RB,8,MIA,0,0,0,0,0,0,0,0,0,0,0,0
152,15497,George Winn,DET,RB,8,KC,0,0,0,0,0,0,0,0,0,0,0,0
152,16928,Michael Burton,DET,FB,8,KC,0,0,0,0,0,0,0,0,0,0,0,0
152,13418,Anthony Sherman,KC,FB,8,DET,0,0,0,0,0,0,0,0,0,0,0,0
152,14538,Jorvorskie Lane,TB,FB,8,ATL,0,0,0,0,0,0,0,0,0,0,0,0
152,13852,Bobby Rainey,TB,RB,8,ATL,0,0,0,0,0,0,0,0,0,0,0,0
152,16955,Malcolm Johnson,CLE,FB,8,ARI,0,0,0,0,0,0,0,0,0,0,0,0
152,15230,Stepfan Taylor,ARI,RB,8,CLE,0,0,0,0,0,0,0,0,0,0,0,0
152,15224,Andre Ellington,ARI,RB,8,CLE,3,0,0,0,1,0,0,0,0,0,0,0
152,4640,Reggie Bush,SF,RB,8,LAR,0,0,0,0,1,0,0,0,0,0,0,0
152,15207,Benjamin Cunningham,LAR,RB,8,SF,0,0,0,0,0,0,0,0,0,0,0,0
152,15596,Chase Reynolds,LAR,RB,8,SF,0,0,0,0,0,0,0,0,0,0,0,0
152,13446,Bruce Miller,SF,FB,8,LAR,0,0,0,0,1,0,0,0,0,0,0,0
152,15191,Austin Johnson,NO,FB,8,NYG,0,0,0,0,0,0,0,0,0,0,0,0
152,16120,Nikita Whitlock,NYG,RB,8,NO,0,0,0,0,0,0,0,0,0,0,0,0
152,16989,Marcus Murphy,NO,RB,8,NYG,0,0,0,0,0,0,0,0,1,0,0,0
152,11439,Antone Smith,CHI,RB,8,MIN,0,0,0,0,0,0,0,0,0,0,0,0
152,15555,Zach Line,MIN,FB,8,CHI,0,0,0,0,0,0,0,0,0,0,0,0
152,17217,Raheem Mostert,BAL,RB,8,LAC,0,0,0,0,0,0,0,0,0,0,0,0
152,11737,Cedric Peerman,CIN,RB,8,PIT,0,0,0,0,0,0,0,0,0,0,0,0
152,16144,Dri Archer,PIT,RB,8,CIN,0,0,0,0,0,0,0,0,0,0,0,0
152,16534,Roosevelt Nix,PIT,RB,8,CIN,0,0,0,0,0,0,0,0,0,0,0,0
152,14620,Will Johnson,PIT,FB,8,CIN,0,0,0,0,1,0,0,0,0,0,0,0
152,14917,Rex Burkhead,CIN,RB,8,PIT,0,0,0,0,0,0,0,0,0,0,0,0
152,13102,Jordan Todman,PIT,RB,8,CIN,0,0,0,0,0,0,0,0,0,0,0,0
152,16210,Jay Prosch,HOU,FB,8,TEN,0,0,0,0,0,0,0,0,0,0,0,0
152,16869,Jalston Fowler,TEN,RB,8,HOU,0,0,0,0,0,0,0,0,0,0,0,0
152,12774,Stevan Ridley,NYJ,RB,8,OAK,0,0,0,0,0,0,0,0,0,0,0,0
152,14891,Tommy Bohanon,NYJ,FB,8,OAK,0,0,0,0,0,0,0,0,0,0,0,0
152,14789,Jamize Olawale,OAK,FB,8,NYJ,0,0,0,0,0,0,0,0,0,0,0,0
152,13163,Roy Helu,OAK,RB,8,NYJ,0,0,0,0,1,0,0,0,0,0,0,0
152,17360,Rod Smith,DAL,RB,8,SEA,0,0,0,0,1,0,0,0,0,0,0,0
152,13527,Tyler Clutts,DAL,FB,8,SEA,0,0,0,0,0,0,0,0,0,0,0,0
152,12649,Will Tukuafu,SEA,FB,8,DAL,0,0,0,0,0,0,0,0,0,0,0,0
152,15631,Derrick Coleman,SEA,FB,8,DAL,0,0,0,0,0,0,0,0,0,0,0,0
152,16966,Aaron Ripkowski,GB,FB,8,DEN,0,0,0,0,0,0,0,0,0,0,0,0
152,1589,John Kuhn,GB,FB,8,DEN,0,0,0,0,0,0,0,0,0,0,0,0
152,16240,Zurlon Tipton,IND,RB,8,CAR,0,0,0,0,0,0,0,0,0,0,0,0
225,16287,Juwan Thompson,DEN,RB,8,GB,1,-1,-1,0,0,0,0,0,0,0,-0.1,-0.1
226,12296,LeGarrette Blount,NE,RB,7,NYJ,3,-3,-1,0,0,0,0,0,0,0,-0.3,-0.3
227,16178,Bishop Sankey,TEN,RB,8,HOU,0,0,0,0,0,0,0,0,1,1,-1,-1
