Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
67,18349,Brandon Wilds,JAX,RB,5,KC,2,6,3,0,0,0,0,0,0,0,0.6,0.6
68,19072,Alex Armah,CAR,RB,5,NYG,1,4,4,0,0,0,0,0,0,0,0.4,0.4
69,19824,Kalen Ballage,MIA,RB,5,CIN,1,2,2,0,0,0,0,0,0,0,0.2,0.2
69,19798,Nick Chubb,CLE,RB,5,BAL,3,2,0.7,0,1,0,0,0,0,0,0.2,0.2
71,14385,Doug Martin,OAK,RB,5,LAC,2,1,0.5,0,1,0,0,0,0,0,0.1,0.1
71,20159,Mike Boone,MIN,RB,5,PHI,1,1,1,0,0,0,0,0,0,0,0.1,0.1
73,14533,Robert Turbin,IND,RB,5,NE,0,0,0,0,1,0,0,0,0,0,0,0
73,14783,James Develin,NE,RB,5,IND,0,0,0,0,0,0,0,0,0,0,0,0
73,13063,Taiwan Jones,BUF,RB,5,TEN,0,0,0,0,1,0,0,0,0,0,0,0
73,14786,Patrick DiMarco,BUF,FB,5,TEN,0,0,0,0,0,0,0,0,0,0,0,0
73,15966,David Fluellen,TEN,RB,5,BUF,0,0,0,0,0,0,0,0,0,0,0,0
73,13741,Brandon Bolden,MIA,RB,5,CIN,0,0,0,0,0,0,0,0,0,0,0,0
73,16441,Senorise Perry,MIA,RB,5,CIN,0,0,0,0,0,0,0,0,0,0,0,0
73,17050,Thomas Rawls,CIN,RB,5,MIA,0,0,0,0,0,0,0,0,0,0,0,0
73,19209,Patrick Ricard,BAL,FB,5,CLE,0,0,0,0,0,0,0,0,0,0,0,0
73,12787,Nick Bellore,DET,RB,5,GB,0,0,0,0,0,0,0,0,0,0,0,0
73,16815,Ameer Abdullah,DET,RB,5,GB,0,0,0,0,0,0,0,0,0,0,0,0
73,14891,Tommy Bohanon,JAX,FB,5,KC,0,0,0,0,1,0,0,0,0,0,0,0
73,16031,Damien Williams,KC,RB,5,JAX,1,0,0,0,0,0,0,0,0,0,0,0
73,18093,Andy Janovich,DEN,FB,5,NYJ,0,0,0,0,0,0,0,0,0,0,0,0
73,20040,Trenton Cannon,NYJ,RB,5,DEN,0,0,0,0,0,0,0,0,0,0,0,0
73,16534,Roosevelt Nix,PIT,RB,5,ATL,0,0,0,0,0,0,0,0,0,0,0,0
73,19206,Ricky Ortiz,ATL,RB,5,PIT,0,0,0,0,1,0,0,0,0,0,0,0
73,19996,Jaylen Samuels,PIT,FB,5,ATL,0,0,0,0,0,0,0,0,0,0,0,0
73,18996,Wayne Gallman,NYG,RB,5,CAR,0,0,0,0,0,0,0,0,0,0,0,0
73,18617,Elijhaa Penny,NYG,RB,5,CAR,0,0,0,0,0,0,0,0,0,0,0,0
73,16378,Keith Smith,OAK,FB,5,LAC,0,0,0,0,0,0,0,0,0,0,0,0
73,18115,Derek Watt,LAC,FB,5,OAK,0,0,0,0,0,0,0,0,0,0,0,0
73,15631,Derrick Coleman,ARI,FB,5,SF,0,0,0,0,0,0,0,0,0,0,0,0
73,17053,Malcolm Brown,LAR,RB,5,SEA,0,0,0,0,0,0,0,0,0,0,0,0
73,18339,Tre Madden,SEA,RB,5,LAR,0,0,0,0,1,0,0,0,0,0,0,0
73,19529,Justin Davis,LAR,RB,5,SEA,0,0,0,0,0,0,0,0,0,0,0,0
73,19799,Rashaad Penny,SEA,RB,5,LAR,0,0,0,0,0,0,0,0,0,0,0,0
73,14789,Jamize Olawale,DAL,FB,5,HOU,0,0,0,0,0,0,0,0,0,0,0,0
73,18041,Tyler Ervin,HOU,RB,5,DAL,0,0,0,0,1,0,0,0,0,0,0,0
73,20318,Gregory Howell Jr.,HOU,RB,5,DAL,0,0,0,0,0,0,0,0,0,0,0,0
73,15555,Zach Line,NO,FB,5,WAS,0,0,0,0,0,0,0,0,0,0,0,0
104,20075,Josh Adams,PHI,RB,5,MIN,1,-1,-1,0,0,0,0,0,0,0,-0.1,-0.1
104,19919,Chase Edmonds,ARI,RB,5,SF,1,-1,-1,0,1,0,0,0,0,0,-0.1,-0.1
