Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
100,Theo Riddick,DET,RB,5,GB,3,3,1,0,3,2,20,0,0,0,4.3,4.3
102,Gus Edwards,BAL,RB,6,TEN,10,42,4.2,0,0,0,0,0,0,0,4.2,4.2
103,Aaron Jones,GB,RB,6,SF,8,41,5.1,0,1,0,0,0,0,0,4.1,4.1
104,Mike Davis,SEA,RB,6,OAK,6,21,3.5,0,3,1,5,0,0,0,3.6,3.6
104,Derrick Henry,TEN,RB,6,BAL,7,21,3,0,1,1,5,0,0,0,3.6,3.6
106,Carlos Hyde,CLE,RB,6,LAC,14,34,2.4,0,0,0,0,0,0,0,3.4,3.4
106,Dion Lewis,TEN,RB,6,BAL,5,9,1.8,0,2,2,5,0,0,0,3.4,3.4
106,Spencer Ware,KC,RB,6,NE,2,5,2.5,0,3,2,9,0,0,0,3.4,3.4
106,Jay Ajayi,PHI,RB,5,MIN,8,29,3.6,0,1,1,5,0,1,1,3.4,3.4
110,Kapri Bibbs,WAS,RB,6,CAR,2,11,5.5,0,2,1,6,0,0,0,2.7,2.7
111,Nick Chubb,CLE,RB,6,LAC,3,25,8.3,0,0,0,0,0,0,0,2.5,2.5
111,Anthony Sherman,KC,FB,5,JAX,0,0,0,0,1,1,15,0,0,0,2.5,2.5
113,Malcolm Brown,LAR,RB,6,DEN,5,24,4.8,0,0,0,0,0,0,0,2.4,2.4
113,Roc Thomas,MIN,RB,5,PHI,4,8,2,0,2,1,6,0,0,0,2.4,2.4
115,Spencer Ware,KC,RB,5,JAX,1,0,0,0,1,1,13,0,0,0,2.3,2.3
115,James Develin,NE,RB,6,KC,0,0,0,0,2,2,3,0,0,0,2.3,2.3
115,Mark Walton,CIN,RB,5,MIA,0,0,0,0,3,2,3,0,0,0,2.3,2.3
