Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
113,Alfred Blue,HOU,RB,1,NE,20,14,4000,5.23
113,Devontae Booker,DEN,RB,2,OAK,21,23,4000,5.23
115,Rashaad Penny,SEA,RB,1,DEN,9,6,4800,5.22
116,Doug Martin,OAK,RB,1,LAR,14,31,4000,5.05
116,Sony Michel,NE,RB,2,JAX,8,19,4400,5.05
118,Kyle Juszczyk,SF,FB,1,MIN,1,1,3000,4.95
119,LeGarrette Blount,DET,RB,2,SF,17,6,4500,4.88
120,Kenneth Dixon,BAL,RB,1,BUF,16,32,3900,4.68
121,Jalen Richard,OAK,RB,1,LAR,14,31,3300,4.64
122,Spencer Ware,KC,RB,1,LAC,3,19,4500,4.63
123,Spencer Ware,KC,RB,2,PIT,15,13,4100,4.59
124,Chris Ivory,BUF,RB,2,LAC,27,16,4200,4.51
125,Chase Edmonds,ARI,RB,1,WAS,23,30,4500,4.5
126,Mike Gillislee,NO,RB,2,CLE,18,28,3300,4.33
127,Alfred Blue,HOU,RB,2,TEN,16,8,3900,4.29
128,Chris Ivory,BUF,RB,1,BAL,4,23,4900,4.23
129,Kyle Juszczyk,SF,FB,2,DET,25,29,3200,4.17
130,Doug Martin,OAK,RB,2,DEN,20,5,4200,4.09
131,Wayne Gallman,NYG,RB,1,JAX,2,11,3800,4.04
132,CJ Prosise,SEA,RB,1,DEN,9,6,3300,4.02
133,Christine Michael,IND,RB,1,CIN,17,29,3000,4.01
134,Wayne Gallman,NYG,RB,2,DAL,3,17,4300,3.99
135,Ito Smith,ATL,RB,2,CAR,2,9,3000,3.83
136,Nick Chubb,CLE,RB,2,NO,32,3,3800,3.71
136,Jaylen Samuels,PIT,FB,2,KC,30,31,3000,3.71
138,Corey Grant,JAX,RB,1,NYG,32,21,4000,3.67
139,Rod Smith,DAL,RB,1,CAR,15,3,4600,3.52
140,Jacquizz Rodgers,TB,RB,1,NO,13,16,3600,3.46
141,Nick Chubb,CLE,RB,1,PIT,6,18,4100,3.44
142,Jonathan Stewart,NYG,RB,2,DAL,3,17,4100,3.41
143,Rob Kelley,WAS,RB,1,ARI,11,4,3500,3.3
144,Jacquizz Rodgers,TB,RB,2,PHI,10,11,3500,3.18
145,Rod Smith,DAL,RB,2,NYG,4,21,4400,3.13
146,Malcolm Brown,LAR,RB,2,ARI,23,32,3500,3
147,Jonathan Stewart,NYG,RB,1,JAX,2,11,4000,2.94
148,CJ Prosise,SEA,RB,2,CHI,25,1,3100,2.88
149,Phillip Lindsay,DEN,RB,1,SEA,8,10,3000,2.81
150,John Kelly,LAR,RB,1,OAK,25,17,3600,2.57
151,Marcus Murphy,BUF,RB,2,LAC,27,16,3000,2.51
152,Cameron Artis-Payne,CAR,RB,2,ATL,3,27,3000,2.5
